@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R3'

@attribute 'filtered-0-unfiltered-unfiltered-sepal length in cm' {'\'(-inf-4.66]\'','\'(4.66-5.02]\'','\'(5.02-5.38]\'','\'(5.38-5.74]\'','\'(5.74-6.1]\'','\'(6.1-6.46]\'','\'(6.46-6.82]\'','\'(6.82-7.18]\'','\'(7.18-7.54]\'','\'(7.54-inf)\''}
@attribute 'unfiltered-filtered-0-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' {'\'(-inf-2.24]\'','\'(2.24-2.48]\'','\'(2.48-2.72]\'','\'(2.72-2.96]\'','\'(2.96-3.2]\'','\'(3.2-3.44]\'','\'(3.44-3.68]\'','\'(3.68-3.92]\'','\'(3.92-4.16]\'','\'(4.16-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(5.02-5.38]\'',0.041667,'\'(3.44-3.68]\'',1.4,Iris-setosa
'\'(4.66-5.02]\'',0.041667,'\'(2.96-3.2]\'',1.4,Iris-setosa
'\'(4.66-5.02]\'',0.041667,'\'(2.96-3.2]\'',1.3,Iris-setosa
'\'(-inf-4.66]\'',0.041667,'\'(2.96-3.2]\'',1.5,Iris-setosa
'\'(4.66-5.02]\'',0.041667,'\'(3.44-3.68]\'',1.4,Iris-setosa
'\'(5.38-5.74]\'',0.125,'\'(3.68-3.92]\'',1.7,Iris-setosa
'\'(-inf-4.66]\'',0.083333,'\'(3.2-3.44]\'',1.4,Iris-setosa
'\'(4.66-5.02]\'',0.041667,'\'(3.2-3.44]\'',1.5,Iris-setosa
'\'(-inf-4.66]\'',0.041667,'\'(2.72-2.96]\'',1.4,Iris-setosa
'\'(4.66-5.02]\'',0,'\'(2.96-3.2]\'',1.5,Iris-setosa
'\'(5.38-5.74]\'',0.041667,'\'(3.68-3.92]\'',1.5,Iris-setosa
'\'(4.66-5.02]\'',0.041667,'\'(3.2-3.44]\'',1.6,Iris-setosa
'\'(4.66-5.02]\'',0,'\'(2.96-3.2]\'',1.4,Iris-setosa
'\'(-inf-4.66]\'',0,'\'(2.96-3.2]\'',1.1,Iris-setosa
'\'(5.74-6.1]\'',0.041667,'\'(3.92-4.16]\'',1.2,Iris-setosa
'\'(5.38-5.74]\'',0.125,'\'(4.16-inf)\'',1.5,Iris-setosa
'\'(5.38-5.74]\'',0.125,'\'(3.68-3.92]\'',1.3,Iris-setosa
'\'(5.02-5.38]\'',0.083333,'\'(3.44-3.68]\'',1.4,Iris-setosa
'\'(5.38-5.74]\'',0.083333,'\'(3.68-3.92]\'',1.7,Iris-setosa
'\'(5.02-5.38]\'',0.083333,'\'(3.68-3.92]\'',1.5,Iris-setosa
'\'(5.38-5.74]\'',0.041667,'\'(3.2-3.44]\'',1.7,Iris-setosa
'\'(5.02-5.38]\'',0.125,'\'(3.68-3.92]\'',1.5,Iris-setosa
'\'(-inf-4.66]\'',0.041667,'\'(3.44-3.68]\'',1,Iris-setosa
'\'(5.02-5.38]\'',0.166667,'\'(3.2-3.44]\'',1.7,Iris-setosa
'\'(4.66-5.02]\'',0.041667,'\'(3.2-3.44]\'',1.9,Iris-setosa
'\'(4.66-5.02]\'',0.041667,'\'(2.96-3.2]\'',1.6,Iris-setosa
'\'(4.66-5.02]\'',0.125,'\'(3.2-3.44]\'',1.6,Iris-setosa
'\'(5.02-5.38]\'',0.041667,'\'(3.44-3.68]\'',1.5,Iris-setosa
'\'(5.02-5.38]\'',0.041667,'\'(3.2-3.44]\'',1.4,Iris-setosa
'\'(4.66-5.02]\'',0.041667,'\'(2.96-3.2]\'',1.6,Iris-setosa
'\'(4.66-5.02]\'',0.041667,'\'(2.96-3.2]\'',1.6,Iris-setosa
'\'(5.38-5.74]\'',0.125,'\'(3.2-3.44]\'',1.5,Iris-setosa
'\'(5.02-5.38]\'',0,'\'(3.92-4.16]\'',1.5,Iris-setosa
'\'(5.38-5.74]\'',0.041667,'\'(4.16-inf)\'',1.4,Iris-setosa
'\'(4.66-5.02]\'',0,'\'(2.96-3.2]\'',1.5,Iris-setosa
'\'(4.66-5.02]\'',0.041667,'\'(2.96-3.2]\'',1.2,Iris-setosa
'\'(5.38-5.74]\'',0.041667,'\'(3.44-3.68]\'',1.3,Iris-setosa
'\'(4.66-5.02]\'',0,'\'(2.96-3.2]\'',1.5,Iris-setosa
'\'(-inf-4.66]\'',0.041667,'\'(2.96-3.2]\'',1.3,Iris-setosa
'\'(5.02-5.38]\'',0.041667,'\'(3.2-3.44]\'',1.5,Iris-setosa
'\'(4.66-5.02]\'',0.083333,'\'(3.44-3.68]\'',1.3,Iris-setosa
'\'(-inf-4.66]\'',0.083333,'\'(2.24-2.48]\'',1.3,Iris-setosa
'\'(-inf-4.66]\'',0.041667,'\'(2.96-3.2]\'',1.3,Iris-setosa
'\'(4.66-5.02]\'',0.208333,'\'(3.44-3.68]\'',1.6,Iris-setosa
'\'(5.02-5.38]\'',0.125,'\'(3.68-3.92]\'',1.9,Iris-setosa
'\'(4.66-5.02]\'',0.083333,'\'(2.96-3.2]\'',1.4,Iris-setosa
'\'(5.02-5.38]\'',0.041667,'\'(3.68-3.92]\'',1.6,Iris-setosa
'\'(-inf-4.66]\'',0.041667,'\'(2.96-3.2]\'',1.4,Iris-setosa
'\'(5.02-5.38]\'',0.041667,'\'(3.68-3.92]\'',1.5,Iris-setosa
'\'(4.66-5.02]\'',0.041667,'\'(3.2-3.44]\'',1.4,Iris-setosa
'\'(6.82-7.18]\'',0.541667,'\'(2.96-3.2]\'',4.7,Iris-versicolor
'\'(6.1-6.46]\'',0.583333,'\'(2.96-3.2]\'',4.5,Iris-versicolor
'\'(6.82-7.18]\'',0.583333,'\'(2.96-3.2]\'',4.9,Iris-versicolor
'\'(5.38-5.74]\'',0.5,'\'(2.24-2.48]\'',4,Iris-versicolor
'\'(6.46-6.82]\'',0.583333,'\'(2.72-2.96]\'',4.6,Iris-versicolor
'\'(5.38-5.74]\'',0.5,'\'(2.72-2.96]\'',4.5,Iris-versicolor
'\'(6.1-6.46]\'',0.625,'\'(3.2-3.44]\'',4.7,Iris-versicolor
'\'(4.66-5.02]\'',0.375,'\'(2.24-2.48]\'',3.3,Iris-versicolor
'\'(6.46-6.82]\'',0.5,'\'(2.72-2.96]\'',4.6,Iris-versicolor
'\'(5.02-5.38]\'',0.541667,'\'(2.48-2.72]\'',3.9,Iris-versicolor
'\'(4.66-5.02]\'',0.375,'\'(-inf-2.24]\'',3.5,Iris-versicolor
'\'(5.74-6.1]\'',0.583333,'\'(2.96-3.2]\'',4.2,Iris-versicolor
'\'(5.74-6.1]\'',0.375,'\'(-inf-2.24]\'',4,Iris-versicolor
'\'(5.74-6.1]\'',0.541667,'\'(2.72-2.96]\'',4.7,Iris-versicolor
'\'(5.38-5.74]\'',0.5,'\'(2.72-2.96]\'',3.6,Iris-versicolor
'\'(6.46-6.82]\'',0.541667,'\'(2.96-3.2]\'',4.4,Iris-versicolor
'\'(5.38-5.74]\'',0.583333,'\'(2.96-3.2]\'',4.5,Iris-versicolor
'\'(5.74-6.1]\'',0.375,'\'(2.48-2.72]\'',4.1,Iris-versicolor
'\'(6.1-6.46]\'',0.583333,'\'(-inf-2.24]\'',4.5,Iris-versicolor
'\'(5.38-5.74]\'',0.416667,'\'(2.48-2.72]\'',3.9,Iris-versicolor
'\'(5.74-6.1]\'',0.708333,'\'(2.96-3.2]\'',4.8,Iris-versicolor
'\'(5.74-6.1]\'',0.5,'\'(2.72-2.96]\'',4,Iris-versicolor
'\'(6.1-6.46]\'',0.583333,'\'(2.48-2.72]\'',4.9,Iris-versicolor
'\'(5.74-6.1]\'',0.458333,'\'(2.72-2.96]\'',4.7,Iris-versicolor
'\'(6.1-6.46]\'',0.5,'\'(2.72-2.96]\'',4.3,Iris-versicolor
'\'(6.46-6.82]\'',0.541667,'\'(2.96-3.2]\'',4.4,Iris-versicolor
'\'(6.46-6.82]\'',0.541667,'\'(2.72-2.96]\'',4.8,Iris-versicolor
'\'(6.46-6.82]\'',0.666667,'\'(2.96-3.2]\'',5,Iris-versicolor
'\'(5.74-6.1]\'',0.583333,'\'(2.72-2.96]\'',4.5,Iris-versicolor
'\'(5.38-5.74]\'',0.375,'\'(2.48-2.72]\'',3.5,Iris-versicolor
'\'(5.38-5.74]\'',0.416667,'\'(2.24-2.48]\'',3.8,Iris-versicolor
'\'(5.38-5.74]\'',0.375,'\'(2.24-2.48]\'',3.7,Iris-versicolor
'\'(5.74-6.1]\'',0.458333,'\'(2.48-2.72]\'',3.9,Iris-versicolor
'\'(5.74-6.1]\'',0.625,'\'(2.48-2.72]\'',5.1,Iris-versicolor
'\'(5.38-5.74]\'',0.583333,'\'(2.96-3.2]\'',4.5,Iris-versicolor
'\'(5.74-6.1]\'',0.625,'\'(3.2-3.44]\'',4.5,Iris-versicolor
'\'(6.46-6.82]\'',0.583333,'\'(2.96-3.2]\'',4.7,Iris-versicolor
'\'(6.1-6.46]\'',0.5,'\'(2.24-2.48]\'',4.4,Iris-versicolor
'\'(5.38-5.74]\'',0.5,'\'(2.96-3.2]\'',4.1,Iris-versicolor
'\'(5.38-5.74]\'',0.5,'\'(2.48-2.72]\'',4,Iris-versicolor
'\'(5.38-5.74]\'',0.458333,'\'(2.48-2.72]\'',4.4,Iris-versicolor
'\'(5.74-6.1]\'',0.541667,'\'(2.96-3.2]\'',4.6,Iris-versicolor
'\'(5.74-6.1]\'',0.458333,'\'(2.48-2.72]\'',4,Iris-versicolor
'\'(4.66-5.02]\'',0.375,'\'(2.24-2.48]\'',3.3,Iris-versicolor
'\'(5.38-5.74]\'',0.5,'\'(2.48-2.72]\'',4.2,Iris-versicolor
'\'(5.38-5.74]\'',0.458333,'\'(2.96-3.2]\'',4.2,Iris-versicolor
'\'(5.38-5.74]\'',0.5,'\'(2.72-2.96]\'',4.2,Iris-versicolor
'\'(6.1-6.46]\'',0.5,'\'(2.72-2.96]\'',4.3,Iris-versicolor
'\'(5.02-5.38]\'',0.416667,'\'(2.48-2.72]\'',3,Iris-versicolor
'\'(5.38-5.74]\'',0.5,'\'(2.72-2.96]\'',4.1,Iris-versicolor
'\'(6.1-6.46]\'',1,'\'(3.2-3.44]\'',6,Iris-virginica
'\'(5.74-6.1]\'',0.75,'\'(2.48-2.72]\'',5.1,Iris-virginica
'\'(6.82-7.18]\'',0.833333,'\'(2.96-3.2]\'',5.9,Iris-virginica
'\'(6.1-6.46]\'',0.708333,'\'(2.72-2.96]\'',5.6,Iris-virginica
'\'(6.46-6.82]\'',0.875,'\'(2.96-3.2]\'',5.8,Iris-virginica
'\'(7.54-inf)\'',0.833333,'\'(2.96-3.2]\'',6.6,Iris-virginica
'\'(4.66-5.02]\'',0.666667,'\'(2.48-2.72]\'',4.5,Iris-virginica
'\'(7.18-7.54]\'',0.708333,'\'(2.72-2.96]\'',6.3,Iris-virginica
'\'(6.46-6.82]\'',0.708333,'\'(2.48-2.72]\'',5.8,Iris-virginica
'\'(7.18-7.54]\'',1,'\'(3.44-3.68]\'',6.1,Iris-virginica
'\'(6.46-6.82]\'',0.791667,'\'(2.96-3.2]\'',5.1,Iris-virginica
'\'(6.1-6.46]\'',0.75,'\'(2.48-2.72]\'',5.3,Iris-virginica
'\'(6.46-6.82]\'',0.833333,'\'(2.96-3.2]\'',5.5,Iris-virginica
'\'(5.38-5.74]\'',0.791667,'\'(2.48-2.72]\'',5,Iris-virginica
'\'(5.74-6.1]\'',0.958333,'\'(2.72-2.96]\'',5.1,Iris-virginica
'\'(6.1-6.46]\'',0.916667,'\'(2.96-3.2]\'',5.3,Iris-virginica
'\'(6.46-6.82]\'',0.708333,'\'(2.96-3.2]\'',5.5,Iris-virginica
'\'(7.54-inf)\'',0.875,'\'(3.68-3.92]\'',6.7,Iris-virginica
'\'(7.54-inf)\'',0.916667,'\'(2.48-2.72]\'',6.9,Iris-virginica
'\'(5.74-6.1]\'',0.583333,'\'(-inf-2.24]\'',5,Iris-virginica
'\'(6.82-7.18]\'',0.916667,'\'(2.96-3.2]\'',5.7,Iris-virginica
'\'(5.38-5.74]\'',0.791667,'\'(2.72-2.96]\'',4.9,Iris-virginica
'\'(7.54-inf)\'',0.791667,'\'(2.72-2.96]\'',6.7,Iris-virginica
'\'(6.1-6.46]\'',0.708333,'\'(2.48-2.72]\'',4.9,Iris-virginica
'\'(6.46-6.82]\'',0.833333,'\'(3.2-3.44]\'',5.7,Iris-virginica
'\'(7.18-7.54]\'',0.708333,'\'(2.96-3.2]\'',6,Iris-virginica
'\'(6.1-6.46]\'',0.708333,'\'(2.72-2.96]\'',4.8,Iris-virginica
'\'(5.74-6.1]\'',0.708333,'\'(2.96-3.2]\'',4.9,Iris-virginica
'\'(6.1-6.46]\'',0.833333,'\'(2.72-2.96]\'',5.6,Iris-virginica
'\'(7.18-7.54]\'',0.625,'\'(2.96-3.2]\'',5.8,Iris-virginica
'\'(7.18-7.54]\'',0.75,'\'(2.72-2.96]\'',6.1,Iris-virginica
'\'(7.54-inf)\'',0.791667,'\'(3.68-3.92]\'',6.4,Iris-virginica
'\'(6.1-6.46]\'',0.875,'\'(2.72-2.96]\'',5.6,Iris-virginica
'\'(6.1-6.46]\'',0.583333,'\'(2.72-2.96]\'',5.1,Iris-virginica
'\'(5.74-6.1]\'',0.541667,'\'(2.48-2.72]\'',5.6,Iris-virginica
'\'(7.54-inf)\'',0.916667,'\'(2.96-3.2]\'',6.1,Iris-virginica
'\'(6.1-6.46]\'',0.958333,'\'(3.2-3.44]\'',5.6,Iris-virginica
'\'(6.1-6.46]\'',0.708333,'\'(2.96-3.2]\'',5.5,Iris-virginica
'\'(5.74-6.1]\'',0.708333,'\'(2.96-3.2]\'',4.8,Iris-virginica
