@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4'

@attribute 'filtered-0-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.041667,0.625,5.1,1.4,Iris-setosa
0.041667,0.416667,4.9,1.4,Iris-setosa
0.041667,0.5,4.7,1.3,Iris-setosa
0.041667,0.458333,4.6,1.5,Iris-setosa
0.041667,0.666667,5,1.4,Iris-setosa
0.125,0.791667,5.4,1.7,Iris-setosa
0.083333,0.583333,4.6,1.4,Iris-setosa
0.041667,0.583333,5,1.5,Iris-setosa
0.041667,0.375,4.4,1.4,Iris-setosa
0,0.458333,4.9,1.5,Iris-setosa
0.041667,0.708333,5.4,1.5,Iris-setosa
0.041667,0.583333,4.8,1.6,Iris-setosa
0,0.416667,4.8,1.4,Iris-setosa
0,0.416667,4.3,1.1,Iris-setosa
0.041667,0.833333,5.8,1.2,Iris-setosa
0.125,1,5.7,1.5,Iris-setosa
0.125,0.791667,5.4,1.3,Iris-setosa
0.083333,0.625,5.1,1.4,Iris-setosa
0.083333,0.75,5.7,1.7,Iris-setosa
0.083333,0.75,5.1,1.5,Iris-setosa
0.041667,0.583333,5.4,1.7,Iris-setosa
0.125,0.708333,5.1,1.5,Iris-setosa
0.041667,0.666667,4.6,1,Iris-setosa
0.166667,0.541667,5.1,1.7,Iris-setosa
0.041667,0.583333,4.8,1.9,Iris-setosa
0.041667,0.416667,5,1.6,Iris-setosa
0.125,0.583333,5,1.6,Iris-setosa
0.041667,0.625,5.2,1.5,Iris-setosa
0.041667,0.583333,5.2,1.4,Iris-setosa
0.041667,0.5,4.7,1.6,Iris-setosa
0.041667,0.458333,4.8,1.6,Iris-setosa
0.125,0.583333,5.4,1.5,Iris-setosa
0,0.875,5.2,1.5,Iris-setosa
0.041667,0.916667,5.5,1.4,Iris-setosa
0,0.458333,4.9,1.5,Iris-setosa
0.041667,0.5,5,1.2,Iris-setosa
0.041667,0.625,5.5,1.3,Iris-setosa
0,0.458333,4.9,1.5,Iris-setosa
0.041667,0.416667,4.4,1.3,Iris-setosa
0.041667,0.583333,5.1,1.5,Iris-setosa
0.083333,0.625,5,1.3,Iris-setosa
0.083333,0.125,4.5,1.3,Iris-setosa
0.041667,0.5,4.4,1.3,Iris-setosa
0.208333,0.625,5,1.6,Iris-setosa
0.125,0.75,5.1,1.9,Iris-setosa
0.083333,0.416667,4.8,1.4,Iris-setosa
