@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-1.308593,0.625,5.1,1.4,Iris-setosa
-1.308593,0.416667,4.9,1.4,Iris-setosa
-1.308593,0.5,4.7,1.3,Iris-setosa
-1.308593,0.458333,4.6,1.5,Iris-setosa
-1.308593,0.666667,5,1.4,Iris-setosa
-1.046525,0.791667,5.4,1.7,Iris-setosa
-1.177559,0.583333,4.6,1.4,Iris-setosa
-1.308593,0.583333,5,1.5,Iris-setosa
-1.308593,0.375,4.4,1.4,Iris-setosa
-1.439627,0.458333,4.9,1.5,Iris-setosa
-1.308593,0.708333,5.4,1.5,Iris-setosa
-1.308593,0.583333,4.8,1.6,Iris-setosa
-1.439627,0.416667,4.8,1.4,Iris-setosa
-1.439627,0.416667,4.3,1.1,Iris-setosa
-1.308593,0.833333,5.8,1.2,Iris-setosa
-1.046525,1,5.7,1.5,Iris-setosa
-1.046525,0.791667,5.4,1.3,Iris-setosa
-1.177559,0.625,5.1,1.4,Iris-setosa
-1.177559,0.75,5.7,1.7,Iris-setosa
-1.177559,0.75,5.1,1.5,Iris-setosa
-1.308593,0.583333,5.4,1.7,Iris-setosa
-1.046525,0.708333,5.1,1.5,Iris-setosa
-1.308593,0.666667,4.6,1,Iris-setosa
-0.915491,0.541667,5.1,1.7,Iris-setosa
-1.308593,0.583333,4.8,1.9,Iris-setosa
-1.308593,0.416667,5,1.6,Iris-setosa
