@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' {'\'(-inf-0.34]\'','\'(0.34-0.58]\'','\'(0.58-0.82]\'','\'(0.82-1.06]\'','\'(1.06-1.3]\'','\'(1.3-1.54]\'','\'(1.54-1.78]\'','\'(1.78-2.02]\'','\'(2.02-2.26]\'','\'(2.26-inf)\''}
@attribute 'unfiltered-filtered-0-filtered-0-sepal width in cm' {'\'(-inf--1.162377]\'','\'(-1.162377--0.701116]\'','\'(-0.701116--0.470486]\'','\'(-0.470486--0.239856]\'','\'(-0.239856--0.009225]\'','\'(-0.009225-0.221405]\'','\'(0.221405-0.452035]\'','\'(0.452035-0.913296]\'','\'(0.913296-1.605187]\'','\'(1.605187-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(-inf-0.34]\'','\'(0.913296-1.605187]\'',5.1,1.4,Iris-setosa
'\'(-inf-0.34]\'','\'(-0.239856--0.009225]\'',4.9,1.4,Iris-setosa
'\'(-inf-0.34]\'','\'(0.221405-0.452035]\'',4.7,1.3,Iris-setosa
'\'(-inf-0.34]\'','\'(-0.009225-0.221405]\'',4.6,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(0.913296-1.605187]\'',5,1.4,Iris-setosa
'\'(0.34-0.58]\'','\'(1.605187-inf)\'',5.4,1.7,Iris-setosa
'\'(-inf-0.34]\'','\'(0.452035-0.913296]\'',4.6,1.4,Iris-setosa
'\'(-inf-0.34]\'','\'(0.452035-0.913296]\'',5,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(-0.470486--0.239856]\'',4.4,1.4,Iris-setosa
'\'(-inf-0.34]\'','\'(-0.009225-0.221405]\'',4.9,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(0.913296-1.605187]\'',5.4,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(0.452035-0.913296]\'',4.8,1.6,Iris-setosa
'\'(-inf-0.34]\'','\'(-0.239856--0.009225]\'',4.8,1.4,Iris-setosa
'\'(-inf-0.34]\'','\'(-0.239856--0.009225]\'',4.3,1.1,Iris-setosa
'\'(-inf-0.34]\'','\'(1.605187-inf)\'',5.8,1.2,Iris-setosa
'\'(0.34-0.58]\'','\'(1.605187-inf)\'',5.7,1.5,Iris-setosa
'\'(0.34-0.58]\'','\'(1.605187-inf)\'',5.4,1.3,Iris-setosa
'\'(-inf-0.34]\'','\'(0.913296-1.605187]\'',5.1,1.4,Iris-setosa
'\'(-inf-0.34]\'','\'(1.605187-inf)\'',5.7,1.7,Iris-setosa
'\'(-inf-0.34]\'','\'(1.605187-inf)\'',5.1,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(0.452035-0.913296]\'',5.4,1.7,Iris-setosa
'\'(0.34-0.58]\'','\'(0.913296-1.605187]\'',5.1,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(0.913296-1.605187]\'',4.6,1,Iris-setosa
'\'(0.34-0.58]\'','\'(0.452035-0.913296]\'',5.1,1.7,Iris-setosa
'\'(-inf-0.34]\'','\'(0.452035-0.913296]\'',4.8,1.9,Iris-setosa
'\'(-inf-0.34]\'','\'(-0.239856--0.009225]\'',5,1.6,Iris-setosa
'\'(0.34-0.58]\'','\'(0.452035-0.913296]\'',5,1.6,Iris-setosa
'\'(-inf-0.34]\'','\'(0.913296-1.605187]\'',5.2,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(0.452035-0.913296]\'',5.2,1.4,Iris-setosa
'\'(-inf-0.34]\'','\'(0.221405-0.452035]\'',4.7,1.6,Iris-setosa
'\'(-inf-0.34]\'','\'(-0.009225-0.221405]\'',4.8,1.6,Iris-setosa
'\'(0.34-0.58]\'','\'(0.452035-0.913296]\'',5.4,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(1.605187-inf)\'',5.2,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(1.605187-inf)\'',5.5,1.4,Iris-setosa
'\'(-inf-0.34]\'','\'(-0.009225-0.221405]\'',4.9,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(0.221405-0.452035]\'',5,1.2,Iris-setosa
'\'(-inf-0.34]\'','\'(0.913296-1.605187]\'',5.5,1.3,Iris-setosa
'\'(-inf-0.34]\'','\'(-0.009225-0.221405]\'',4.9,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(-0.239856--0.009225]\'',4.4,1.3,Iris-setosa
'\'(-inf-0.34]\'','\'(0.452035-0.913296]\'',5.1,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(0.913296-1.605187]\'',5,1.3,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf--1.162377]\'',4.5,1.3,Iris-setosa
'\'(-inf-0.34]\'','\'(0.221405-0.452035]\'',4.4,1.3,Iris-setosa
'\'(0.58-0.82]\'','\'(0.913296-1.605187]\'',5,1.6,Iris-setosa
'\'(0.34-0.58]\'','\'(1.605187-inf)\'',5.1,1.9,Iris-setosa
'\'(-inf-0.34]\'','\'(-0.239856--0.009225]\'',4.8,1.4,Iris-setosa
'\'(-inf-0.34]\'','\'(1.605187-inf)\'',5.1,1.6,Iris-setosa
'\'(-inf-0.34]\'','\'(0.221405-0.452035]\'',4.6,1.4,Iris-setosa
'\'(-inf-0.34]\'','\'(0.913296-1.605187]\'',5.3,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(0.452035-0.913296]\'',5,1.4,Iris-setosa
'\'(1.3-1.54]\'','\'(0.221405-0.452035]\'',7,4.7,Iris-versicolor
'\'(1.3-1.54]\'','\'(0.221405-0.452035]\'',6.4,4.5,Iris-versicolor
'\'(1.3-1.54]\'','\'(-0.009225-0.221405]\'',6.9,4.9,Iris-versicolor
'\'(1.06-1.3]\'','\'(-inf--1.162377]\'',5.5,4,Iris-versicolor
'\'(1.3-1.54]\'','\'(-0.701116--0.470486]\'',6.5,4.6,Iris-versicolor
'\'(1.06-1.3]\'','\'(-0.701116--0.470486]\'',5.7,4.5,Iris-versicolor
'\'(1.54-1.78]\'','\'(0.452035-0.913296]\'',6.3,4.7,Iris-versicolor
'\'(0.82-1.06]\'','\'(-inf--1.162377]\'',4.9,3.3,Iris-versicolor
'\'(1.06-1.3]\'','\'(-0.470486--0.239856]\'',6.6,4.6,Iris-versicolor
'\'(1.3-1.54]\'','\'(-1.162377--0.701116]\'',5.2,3.9,Iris-versicolor
'\'(0.82-1.06]\'','\'(-inf--1.162377]\'',5,3.5,Iris-versicolor
