@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-filtered-0-petal length in cm' {'\'(-inf-1.35]\'','\'(1.35-1.45]\'','\'(1.45-1.55]\'','\'(1.55-3.4]\'','\'(3.4-4.15]\'','\'(4.15-4.55]\'','\'(4.55-4.95]\'','\'(4.95-5.35]\'','\'(5.35-5.75]\'','\'(5.75-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-1.301767,-0.87971,'\'(1.35-1.45]\'',3.5,Iris-setosa
-1.301767,-1.120076,'\'(1.35-1.45]\'',3,Iris-setosa
-1.301767,-1.360443,'\'(-inf-1.35]\'',3.2,Iris-setosa
-1.301767,-1.480626,'\'(1.45-1.55]\'',3.1,Iris-setosa
-1.301767,-0.999893,'\'(1.35-1.45]\'',3.6,Iris-setosa
-1.039831,-0.519159,'\'(1.55-3.4]\'',3.9,Iris-setosa
-1.170799,-1.480626,'\'(1.35-1.45]\'',3.4,Iris-setosa
-1.301767,-0.999893,'\'(1.45-1.55]\'',3.4,Iris-setosa
-1.301767,-1.720993,'\'(1.35-1.45]\'',2.9,Iris-setosa
-1.432734,-1.120076,'\'(1.45-1.55]\'',3.1,Iris-setosa
-1.301767,-0.519159,'\'(1.45-1.55]\'',3.7,Iris-setosa
-1.301767,-1.24026,'\'(1.55-3.4]\'',3.4,Iris-setosa
-1.432734,-1.24026,'\'(1.35-1.45]\'',3,Iris-setosa
-1.432734,-1.841177,'\'(-inf-1.35]\'',3,Iris-setosa
-1.301767,-0.038426,'\'(-inf-1.35]\'',4,Iris-setosa
-1.039831,-0.158609,'\'(1.45-1.55]\'',4.4,Iris-setosa
-1.039831,-0.519159,'\'(-inf-1.35]\'',3.9,Iris-setosa
-1.170799,-0.87971,'\'(1.35-1.45]\'',3.5,Iris-setosa
-1.170799,-0.158609,'\'(1.55-3.4]\'',3.8,Iris-setosa
-1.170799,-0.87971,'\'(1.45-1.55]\'',3.8,Iris-setosa
-1.301767,-0.519159,'\'(1.55-3.4]\'',3.4,Iris-setosa
-1.039831,-0.87971,'\'(1.45-1.55]\'',3.7,Iris-setosa
-1.301767,-1.480626,'\'(-inf-1.35]\'',3.6,Iris-setosa
-0.908863,-0.87971,'\'(1.55-3.4]\'',3.3,Iris-setosa
-1.301767,-1.24026,'\'(1.55-3.4]\'',3.4,Iris-setosa
-1.301767,-0.999893,'\'(1.55-3.4]\'',3,Iris-setosa
-1.039831,-0.999893,'\'(1.55-3.4]\'',3.4,Iris-setosa
-1.301767,-0.759526,'\'(1.45-1.55]\'',3.5,Iris-setosa
-1.301767,-0.759526,'\'(1.35-1.45]\'',3.4,Iris-setosa
-1.301767,-1.360443,'\'(1.55-3.4]\'',3.2,Iris-setosa
-1.301767,-1.24026,'\'(1.55-3.4]\'',3.1,Iris-setosa
-1.039831,-0.519159,'\'(1.45-1.55]\'',3.4,Iris-setosa
-1.432734,-0.759526,'\'(1.45-1.55]\'',4.1,Iris-setosa
-1.301767,-0.398976,'\'(1.35-1.45]\'',4.2,Iris-setosa
-1.432734,-1.120076,'\'(1.45-1.55]\'',3.1,Iris-setosa
-1.301767,-0.999893,'\'(-inf-1.35]\'',3.2,Iris-setosa
-1.301767,-0.398976,'\'(-inf-1.35]\'',3.5,Iris-setosa
-1.432734,-1.120076,'\'(1.45-1.55]\'',3.1,Iris-setosa
-1.301767,-1.720993,'\'(-inf-1.35]\'',3,Iris-setosa
-1.301767,-0.87971,'\'(1.45-1.55]\'',3.4,Iris-setosa
-1.170799,-0.999893,'\'(-inf-1.35]\'',3.5,Iris-setosa
-1.170799,-1.60081,'\'(-inf-1.35]\'',2.3,Iris-setosa
-1.301767,-1.720993,'\'(-inf-1.35]\'',3.2,Iris-setosa
-0.777896,-0.999893,'\'(1.55-3.4]\'',3.5,Iris-setosa
-1.039831,-0.87971,'\'(1.55-3.4]\'',3.8,Iris-setosa
