@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R3'

@attribute 'filtered-0-unfiltered-petal length in cm' {'\'(-inf-1.59]\'','\'(1.59-2.18]\'','\'(2.18-2.77]\'','\'(2.77-3.36]\'','\'(3.36-3.95]\'','\'(3.95-4.54]\'','\'(4.54-5.13]\'','\'(5.13-5.72]\'','\'(5.72-6.31]\'','\'(6.31-inf)\''}
@attribute 'unfiltered-filtered-0-sepal length in cm' {'\'(-inf-4.85]\'','\'(4.85-5.05]\'','\'(5.05-5.35]\'','\'(5.35-5.55]\'','\'(5.55-5.75]\'','\'(5.75-6.05]\'','\'(6.05-6.35]\'','\'(6.35-6.65]\'','\'(6.65-6.95]\'','\'(6.95-inf)\''}
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(-inf-1.59]\'','\'(5.05-5.35]\'',3.5,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(4.85-5.05]\'',3,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(-inf-4.85]\'',3.2,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(-inf-4.85]\'',3.1,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(4.85-5.05]\'',3.6,0.2,Iris-setosa
'\'(1.59-2.18]\'','\'(5.35-5.55]\'',3.9,0.4,Iris-setosa
'\'(-inf-1.59]\'','\'(-inf-4.85]\'',3.4,0.3,Iris-setosa
'\'(-inf-1.59]\'','\'(4.85-5.05]\'',3.4,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(-inf-4.85]\'',2.9,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(4.85-5.05]\'',3.1,0.1,Iris-setosa
'\'(-inf-1.59]\'','\'(5.35-5.55]\'',3.7,0.2,Iris-setosa
'\'(1.59-2.18]\'','\'(-inf-4.85]\'',3.4,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(-inf-4.85]\'',3,0.1,Iris-setosa
'\'(-inf-1.59]\'','\'(-inf-4.85]\'',3,0.1,Iris-setosa
'\'(-inf-1.59]\'','\'(5.75-6.05]\'',4,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(5.55-5.75]\'',4.4,0.4,Iris-setosa
'\'(-inf-1.59]\'','\'(5.35-5.55]\'',3.9,0.4,Iris-setosa
'\'(-inf-1.59]\'','\'(5.05-5.35]\'',3.5,0.3,Iris-setosa
'\'(1.59-2.18]\'','\'(5.55-5.75]\'',3.8,0.3,Iris-setosa
'\'(-inf-1.59]\'','\'(5.05-5.35]\'',3.8,0.3,Iris-setosa
'\'(1.59-2.18]\'','\'(5.35-5.55]\'',3.4,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(5.05-5.35]\'',3.7,0.4,Iris-setosa
'\'(-inf-1.59]\'','\'(-inf-4.85]\'',3.6,0.2,Iris-setosa
'\'(1.59-2.18]\'','\'(5.05-5.35]\'',3.3,0.5,Iris-setosa
'\'(1.59-2.18]\'','\'(-inf-4.85]\'',3.4,0.2,Iris-setosa
'\'(1.59-2.18]\'','\'(4.85-5.05]\'',3,0.2,Iris-setosa
'\'(1.59-2.18]\'','\'(4.85-5.05]\'',3.4,0.4,Iris-setosa
'\'(-inf-1.59]\'','\'(5.05-5.35]\'',3.5,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(5.05-5.35]\'',3.4,0.2,Iris-setosa
'\'(1.59-2.18]\'','\'(-inf-4.85]\'',3.2,0.2,Iris-setosa
'\'(1.59-2.18]\'','\'(-inf-4.85]\'',3.1,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(5.35-5.55]\'',3.4,0.4,Iris-setosa
'\'(-inf-1.59]\'','\'(5.05-5.35]\'',4.1,0.1,Iris-setosa
'\'(-inf-1.59]\'','\'(5.35-5.55]\'',4.2,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(4.85-5.05]\'',3.1,0.1,Iris-setosa
'\'(-inf-1.59]\'','\'(4.85-5.05]\'',3.2,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(5.35-5.55]\'',3.5,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(4.85-5.05]\'',3.1,0.1,Iris-setosa
'\'(-inf-1.59]\'','\'(-inf-4.85]\'',3,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(5.05-5.35]\'',3.4,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(4.85-5.05]\'',3.5,0.3,Iris-setosa
'\'(-inf-1.59]\'','\'(-inf-4.85]\'',2.3,0.3,Iris-setosa
'\'(-inf-1.59]\'','\'(-inf-4.85]\'',3.2,0.2,Iris-setosa
'\'(1.59-2.18]\'','\'(4.85-5.05]\'',3.5,0.6,Iris-setosa
'\'(1.59-2.18]\'','\'(5.05-5.35]\'',3.8,0.4,Iris-setosa
'\'(-inf-1.59]\'','\'(-inf-4.85]\'',3,0.3,Iris-setosa
'\'(1.59-2.18]\'','\'(5.05-5.35]\'',3.8,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(-inf-4.85]\'',3.2,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(5.05-5.35]\'',3.7,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(4.85-5.05]\'',3.3,0.2,Iris-setosa
'\'(4.54-5.13]\'','\'(6.95-inf)\'',3.2,1.4,Iris-versicolor
