@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1'

@attribute 'filtered-0-filtered-0-unfiltered-petal length in cm' {'\'(-inf-0.059322]\'','\'(0.059322-0.076271]\'','\'(0.076271-0.09322]\'','\'(0.09322-0.40678]\'','\'(0.40678-0.533898]\'','\'(0.533898-0.601695]\'','\'(0.601695-0.669492]\'','\'(0.669492-0.737288]\'','\'(0.737288-0.805085]\'','\'(0.805085-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' {'\'(-inf-2.24]\'','\'(2.24-2.48]\'','\'(2.48-2.72]\'','\'(2.72-2.96]\'','\'(2.96-3.2]\'','\'(3.2-3.44]\'','\'(3.44-3.68]\'','\'(3.68-3.92]\'','\'(3.92-4.16]\'','\'(4.16-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.059322-0.076271]\'','\'(3.44-3.68]\'',5.1,0.2,Iris-setosa
'\'(0.059322-0.076271]\'','\'(2.96-3.2]\'',4.9,0.2,Iris-setosa
'\'(-inf-0.059322]\'','\'(2.96-3.2]\'',4.7,0.2,Iris-setosa
'\'(0.076271-0.09322]\'','\'(2.96-3.2]\'',4.6,0.2,Iris-setosa
'\'(0.059322-0.076271]\'','\'(3.44-3.68]\'',5,0.2,Iris-setosa
'\'(0.09322-0.40678]\'','\'(3.68-3.92]\'',5.4,0.4,Iris-setosa
'\'(0.059322-0.076271]\'','\'(3.2-3.44]\'',4.6,0.3,Iris-setosa
'\'(0.076271-0.09322]\'','\'(3.2-3.44]\'',5,0.2,Iris-setosa
'\'(0.059322-0.076271]\'','\'(2.72-2.96]\'',4.4,0.2,Iris-setosa
'\'(0.076271-0.09322]\'','\'(2.96-3.2]\'',4.9,0.1,Iris-setosa
'\'(0.076271-0.09322]\'','\'(3.68-3.92]\'',5.4,0.2,Iris-setosa
'\'(0.09322-0.40678]\'','\'(3.2-3.44]\'',4.8,0.2,Iris-setosa
'\'(0.059322-0.076271]\'','\'(2.96-3.2]\'',4.8,0.1,Iris-setosa
'\'(-inf-0.059322]\'','\'(2.96-3.2]\'',4.3,0.1,Iris-setosa
'\'(-inf-0.059322]\'','\'(3.92-4.16]\'',5.8,0.2,Iris-setosa
'\'(0.076271-0.09322]\'','\'(4.16-inf)\'',5.7,0.4,Iris-setosa
'\'(-inf-0.059322]\'','\'(3.68-3.92]\'',5.4,0.4,Iris-setosa
'\'(0.059322-0.076271]\'','\'(3.44-3.68]\'',5.1,0.3,Iris-setosa
'\'(0.09322-0.40678]\'','\'(3.68-3.92]\'',5.7,0.3,Iris-setosa
'\'(0.076271-0.09322]\'','\'(3.68-3.92]\'',5.1,0.3,Iris-setosa
'\'(0.09322-0.40678]\'','\'(3.2-3.44]\'',5.4,0.2,Iris-setosa
'\'(0.076271-0.09322]\'','\'(3.68-3.92]\'',5.1,0.4,Iris-setosa
'\'(-inf-0.059322]\'','\'(3.44-3.68]\'',4.6,0.2,Iris-setosa
'\'(0.09322-0.40678]\'','\'(3.2-3.44]\'',5.1,0.5,Iris-setosa
'\'(0.09322-0.40678]\'','\'(3.2-3.44]\'',4.8,0.2,Iris-setosa
