@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R1'

@attribute 'filtered-0-filtered-0-unfiltered-petal length in cm' {'\'(-inf-1.59]\'','\'(1.59-2.18]\'','\'(2.18-2.77]\'','\'(2.77-3.36]\'','\'(3.36-3.95]\'','\'(3.95-4.54]\'','\'(4.54-5.13]\'','\'(5.13-5.72]\'','\'(5.72-6.31]\'','\'(6.31-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' {'\'(-inf-2.24]\'','\'(2.24-2.48]\'','\'(2.48-2.72]\'','\'(2.72-2.96]\'','\'(2.96-3.2]\'','\'(3.2-3.44]\'','\'(3.44-3.68]\'','\'(3.68-3.92]\'','\'(3.92-4.16]\'','\'(4.16-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(-inf-1.59]\'','\'(3.44-3.68]\'',5.1,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(2.96-3.2]\'',4.9,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(2.96-3.2]\'',4.7,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(2.96-3.2]\'',4.6,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(3.44-3.68]\'',5,0.2,Iris-setosa
'\'(1.59-2.18]\'','\'(3.68-3.92]\'',5.4,0.4,Iris-setosa
'\'(-inf-1.59]\'','\'(3.2-3.44]\'',4.6,0.3,Iris-setosa
'\'(-inf-1.59]\'','\'(3.2-3.44]\'',5,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(2.72-2.96]\'',4.4,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(2.96-3.2]\'',4.9,0.1,Iris-setosa
'\'(-inf-1.59]\'','\'(3.68-3.92]\'',5.4,0.2,Iris-setosa
'\'(1.59-2.18]\'','\'(3.2-3.44]\'',4.8,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(2.96-3.2]\'',4.8,0.1,Iris-setosa
'\'(-inf-1.59]\'','\'(2.96-3.2]\'',4.3,0.1,Iris-setosa
'\'(-inf-1.59]\'','\'(3.92-4.16]\'',5.8,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(4.16-inf)\'',5.7,0.4,Iris-setosa
'\'(-inf-1.59]\'','\'(3.68-3.92]\'',5.4,0.4,Iris-setosa
'\'(-inf-1.59]\'','\'(3.44-3.68]\'',5.1,0.3,Iris-setosa
'\'(1.59-2.18]\'','\'(3.68-3.92]\'',5.7,0.3,Iris-setosa
'\'(-inf-1.59]\'','\'(3.68-3.92]\'',5.1,0.3,Iris-setosa
'\'(1.59-2.18]\'','\'(3.2-3.44]\'',5.4,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(3.68-3.92]\'',5.1,0.4,Iris-setosa
'\'(-inf-1.59]\'','\'(3.44-3.68]\'',4.6,0.2,Iris-setosa
'\'(1.59-2.18]\'','\'(3.2-3.44]\'',5.1,0.5,Iris-setosa
'\'(1.59-2.18]\'','\'(3.2-3.44]\'',4.8,0.2,Iris-setosa
'\'(1.59-2.18]\'','\'(2.96-3.2]\'',5,0.2,Iris-setosa
'\'(1.59-2.18]\'','\'(3.2-3.44]\'',5,0.4,Iris-setosa
'\'(-inf-1.59]\'','\'(3.44-3.68]\'',5.2,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(3.2-3.44]\'',5.2,0.2,Iris-setosa
'\'(1.59-2.18]\'','\'(2.96-3.2]\'',4.7,0.2,Iris-setosa
'\'(1.59-2.18]\'','\'(2.96-3.2]\'',4.8,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(3.2-3.44]\'',5.4,0.4,Iris-setosa
'\'(-inf-1.59]\'','\'(3.92-4.16]\'',5.2,0.1,Iris-setosa
'\'(-inf-1.59]\'','\'(4.16-inf)\'',5.5,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(2.96-3.2]\'',4.9,0.1,Iris-setosa
'\'(-inf-1.59]\'','\'(2.96-3.2]\'',5,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(3.44-3.68]\'',5.5,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(2.96-3.2]\'',4.9,0.1,Iris-setosa
'\'(-inf-1.59]\'','\'(2.96-3.2]\'',4.4,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(3.2-3.44]\'',5.1,0.2,Iris-setosa
'\'(-inf-1.59]\'','\'(3.44-3.68]\'',5,0.3,Iris-setosa
'\'(-inf-1.59]\'','\'(2.24-2.48]\'',4.5,0.3,Iris-setosa
'\'(-inf-1.59]\'','\'(2.96-3.2]\'',4.4,0.2,Iris-setosa
'\'(1.59-2.18]\'','\'(3.44-3.68]\'',5,0.6,Iris-setosa
'\'(1.59-2.18]\'','\'(3.68-3.92]\'',5.1,0.4,Iris-setosa
'\'(-inf-1.59]\'','\'(2.96-3.2]\'',4.8,0.3,Iris-setosa
