@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' {'\'(-inf-0.15]\'','\'(0.15-0.25]\'','\'(0.25-0.55]\'','\'(0.55-1.25]\'','\'(1.25-1.35]\'','\'(1.35-1.55]\'','\'(1.55-1.85]\'','\'(1.85-2.05]\'','\'(2.05-2.25]\'','\'(2.25-inf)\''}
@attribute 'unfiltered-filtered-0-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.15-0.25]\'',0.067797,0.625,5.1,Iris-setosa
'\'(0.15-0.25]\'',0.067797,0.416667,4.9,Iris-setosa
'\'(0.15-0.25]\'',0.050847,0.5,4.7,Iris-setosa
'\'(0.15-0.25]\'',0.084746,0.458333,4.6,Iris-setosa
'\'(0.15-0.25]\'',0.067797,0.666667,5,Iris-setosa
'\'(0.25-0.55]\'',0.118644,0.791667,5.4,Iris-setosa
'\'(0.25-0.55]\'',0.067797,0.583333,4.6,Iris-setosa
'\'(0.15-0.25]\'',0.084746,0.583333,5,Iris-setosa
'\'(0.15-0.25]\'',0.067797,0.375,4.4,Iris-setosa
'\'(-inf-0.15]\'',0.084746,0.458333,4.9,Iris-setosa
'\'(0.15-0.25]\'',0.084746,0.708333,5.4,Iris-setosa
'\'(0.15-0.25]\'',0.101695,0.583333,4.8,Iris-setosa
'\'(-inf-0.15]\'',0.067797,0.416667,4.8,Iris-setosa
'\'(-inf-0.15]\'',0.016949,0.416667,4.3,Iris-setosa
