@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R1'

@attribute 'filtered-0-filtered-0-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-filtered-0-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-0.87971,-1.336794,3.5,0.2,Iris-setosa
-1.120076,-1.336794,3,0.2,Iris-setosa
-1.360443,-1.39347,3.2,0.2,Iris-setosa
-1.480626,-1.280118,3.1,0.2,Iris-setosa
-0.999893,-1.336794,3.6,0.2,Iris-setosa
-0.519159,-1.166767,3.9,0.4,Iris-setosa
-1.480626,-1.336794,3.4,0.3,Iris-setosa
-0.999893,-1.280118,3.4,0.2,Iris-setosa
-1.720993,-1.336794,2.9,0.2,Iris-setosa
-1.120076,-1.280118,3.1,0.1,Iris-setosa
-0.519159,-1.280118,3.7,0.2,Iris-setosa
-1.24026,-1.223442,3.4,0.2,Iris-setosa
-1.24026,-1.336794,3,0.1,Iris-setosa
-1.841177,-1.506822,3,0.1,Iris-setosa
-0.038426,-1.450146,4,0.2,Iris-setosa
-0.158609,-1.280118,4.4,0.4,Iris-setosa
-0.519159,-1.39347,3.9,0.4,Iris-setosa
-0.87971,-1.336794,3.5,0.3,Iris-setosa
-0.158609,-1.166767,3.8,0.3,Iris-setosa
-0.87971,-1.280118,3.8,0.3,Iris-setosa
-0.519159,-1.166767,3.4,0.2,Iris-setosa
-0.87971,-1.280118,3.7,0.4,Iris-setosa
-1.480626,-1.563497,3.6,0.2,Iris-setosa
-0.87971,-1.166767,3.3,0.5,Iris-setosa
-1.24026,-1.053415,3.4,0.2,Iris-setosa
-0.999893,-1.223442,3,0.2,Iris-setosa
-0.999893,-1.223442,3.4,0.4,Iris-setosa
-0.759526,-1.280118,3.5,0.2,Iris-setosa
-0.759526,-1.336794,3.4,0.2,Iris-setosa
-1.360443,-1.223442,3.2,0.2,Iris-setosa
-1.24026,-1.223442,3.1,0.2,Iris-setosa
-0.519159,-1.280118,3.4,0.4,Iris-setosa
-0.759526,-1.280118,4.1,0.1,Iris-setosa
-0.398976,-1.336794,4.2,0.2,Iris-setosa
-1.120076,-1.280118,3.1,0.1,Iris-setosa
-0.999893,-1.450146,3.2,0.2,Iris-setosa
-0.398976,-1.39347,3.5,0.2,Iris-setosa
-1.120076,-1.280118,3.1,0.1,Iris-setosa
-1.720993,-1.39347,3,0.2,Iris-setosa
-0.87971,-1.280118,3.4,0.2,Iris-setosa
-0.999893,-1.39347,3.5,0.3,Iris-setosa
-1.60081,-1.39347,2.3,0.3,Iris-setosa
-1.720993,-1.39347,3.2,0.2,Iris-setosa
-0.999893,-1.223442,3.5,0.6,Iris-setosa
-0.87971,-1.053415,3.8,0.4,Iris-setosa
-1.24026,-1.336794,3,0.3,Iris-setosa
-0.87971,-1.223442,3.8,0.2,Iris-setosa
-1.480626,-1.336794,3.2,0.2,Iris-setosa
-0.639343,-1.280118,3.7,0.2,Iris-setosa
-0.999893,-1.336794,3.3,0.2,Iris-setosa
1.403775,0.533509,3.2,1.4,Iris-versicolor
0.682674,0.420157,3.2,1.5,Iris-versicolor
1.283591,0.64686,3.1,1.5,Iris-versicolor
-0.398976,0.136778,2.3,1.3,Iris-versicolor
0.802858,0.476833,2.8,1.5,Iris-versicolor
-0.158609,0.420157,2.8,1.3,Iris-versicolor
0.562491,0.533509,3.3,1.6,Iris-versicolor
