@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3'

@attribute 'filtered-0-unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-petal width in cm' {'\'(-inf--1.37411]\'','\'(-1.37411--1.243076]\'','\'(-1.243076--0.849974]\'','\'(-0.849974-0.067264]\'','\'(0.067264-0.198298]\'','\'(0.198298-0.460366]\'','\'(0.460366-0.853468]\'','\'(0.853468-1.115536]\'','\'(1.115536-1.377604]\'','\'(1.377604-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.625,'\'(-1.37411--1.243076]\'',5.1,1.4,Iris-setosa
0.416667,'\'(-1.37411--1.243076]\'',4.9,1.4,Iris-setosa
0.5,'\'(-1.37411--1.243076]\'',4.7,1.3,Iris-setosa
0.458333,'\'(-1.37411--1.243076]\'',4.6,1.5,Iris-setosa
0.666667,'\'(-1.37411--1.243076]\'',5,1.4,Iris-setosa
0.791667,'\'(-1.243076--0.849974]\'',5.4,1.7,Iris-setosa
0.583333,'\'(-1.243076--0.849974]\'',4.6,1.4,Iris-setosa
0.583333,'\'(-1.37411--1.243076]\'',5,1.5,Iris-setosa
0.375,'\'(-1.37411--1.243076]\'',4.4,1.4,Iris-setosa
0.458333,'\'(-inf--1.37411]\'',4.9,1.5,Iris-setosa
0.708333,'\'(-1.37411--1.243076]\'',5.4,1.5,Iris-setosa
0.583333,'\'(-1.37411--1.243076]\'',4.8,1.6,Iris-setosa
0.416667,'\'(-inf--1.37411]\'',4.8,1.4,Iris-setosa
0.416667,'\'(-inf--1.37411]\'',4.3,1.1,Iris-setosa
0.833333,'\'(-1.37411--1.243076]\'',5.8,1.2,Iris-setosa
1,'\'(-1.243076--0.849974]\'',5.7,1.5,Iris-setosa
0.791667,'\'(-1.243076--0.849974]\'',5.4,1.3,Iris-setosa
0.625,'\'(-1.243076--0.849974]\'',5.1,1.4,Iris-setosa
0.75,'\'(-1.243076--0.849974]\'',5.7,1.7,Iris-setosa
0.75,'\'(-1.243076--0.849974]\'',5.1,1.5,Iris-setosa
0.583333,'\'(-1.37411--1.243076]\'',5.4,1.7,Iris-setosa
0.708333,'\'(-1.243076--0.849974]\'',5.1,1.5,Iris-setosa
0.666667,'\'(-1.37411--1.243076]\'',4.6,1,Iris-setosa
0.541667,'\'(-1.243076--0.849974]\'',5.1,1.7,Iris-setosa
0.583333,'\'(-1.37411--1.243076]\'',4.8,1.9,Iris-setosa
0.416667,'\'(-1.37411--1.243076]\'',5,1.6,Iris-setosa
0.583333,'\'(-1.243076--0.849974]\'',5,1.6,Iris-setosa
0.625,'\'(-1.37411--1.243076]\'',5.2,1.5,Iris-setosa
0.583333,'\'(-1.37411--1.243076]\'',5.2,1.4,Iris-setosa
0.5,'\'(-1.37411--1.243076]\'',4.7,1.6,Iris-setosa
0.458333,'\'(-1.37411--1.243076]\'',4.8,1.6,Iris-setosa
0.583333,'\'(-1.243076--0.849974]\'',5.4,1.5,Iris-setosa
0.875,'\'(-inf--1.37411]\'',5.2,1.5,Iris-setosa
0.916667,'\'(-1.37411--1.243076]\'',5.5,1.4,Iris-setosa
0.458333,'\'(-inf--1.37411]\'',4.9,1.5,Iris-setosa
0.5,'\'(-1.37411--1.243076]\'',5,1.2,Iris-setosa
0.625,'\'(-1.37411--1.243076]\'',5.5,1.3,Iris-setosa
0.458333,'\'(-inf--1.37411]\'',4.9,1.5,Iris-setosa
0.416667,'\'(-1.37411--1.243076]\'',4.4,1.3,Iris-setosa
0.583333,'\'(-1.37411--1.243076]\'',5.1,1.5,Iris-setosa
0.625,'\'(-1.243076--0.849974]\'',5,1.3,Iris-setosa
0.125,'\'(-1.243076--0.849974]\'',4.5,1.3,Iris-setosa
0.5,'\'(-1.37411--1.243076]\'',4.4,1.3,Iris-setosa
0.625,'\'(-0.849974-0.067264]\'',5,1.6,Iris-setosa
0.75,'\'(-1.243076--0.849974]\'',5.1,1.9,Iris-setosa
0.416667,'\'(-1.243076--0.849974]\'',4.8,1.4,Iris-setosa
0.75,'\'(-1.37411--1.243076]\'',5.1,1.6,Iris-setosa
