@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R3'

@attribute 'filtered-0-unfiltered-unfiltered-sepal width in cm' {'\'(-inf-2.24]\'','\'(2.24-2.48]\'','\'(2.48-2.72]\'','\'(2.72-2.96]\'','\'(2.96-3.2]\'','\'(3.2-3.44]\'','\'(3.44-3.68]\'','\'(3.68-3.92]\'','\'(3.92-4.16]\'','\'(4.16-inf)\''}
@attribute 'unfiltered-filtered-0-filtered-0-petal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(3.44-3.68]\'',0.041667,5.1,1.4,Iris-setosa
'\'(2.96-3.2]\'',0.041667,4.9,1.4,Iris-setosa
'\'(2.96-3.2]\'',0.041667,4.7,1.3,Iris-setosa
'\'(2.96-3.2]\'',0.041667,4.6,1.5,Iris-setosa
'\'(3.44-3.68]\'',0.041667,5,1.4,Iris-setosa
'\'(3.68-3.92]\'',0.125,5.4,1.7,Iris-setosa
'\'(3.2-3.44]\'',0.083333,4.6,1.4,Iris-setosa
'\'(3.2-3.44]\'',0.041667,5,1.5,Iris-setosa
'\'(2.72-2.96]\'',0.041667,4.4,1.4,Iris-setosa
'\'(2.96-3.2]\'',0,4.9,1.5,Iris-setosa
'\'(3.68-3.92]\'',0.041667,5.4,1.5,Iris-setosa
'\'(3.2-3.44]\'',0.041667,4.8,1.6,Iris-setosa
'\'(2.96-3.2]\'',0,4.8,1.4,Iris-setosa
'\'(2.96-3.2]\'',0,4.3,1.1,Iris-setosa
'\'(3.92-4.16]\'',0.041667,5.8,1.2,Iris-setosa
