@relation 'iris(L1eqH79QC)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1'

@attribute 'filtered-0-filtered-0-unfiltered-petal length in cm' {'\'(-inf--1.22911]\'','\'(-1.22911--0.894723]\'','\'(-0.894723--0.560335]\'','\'(-0.560335--0.225948]\'','\'(-0.225948-0.10844]\'','\'(0.10844-0.442827]\'','\'(0.442827-0.777215]\'','\'(0.777215-1.111602]\'','\'(1.111602-1.445989]\'','\'(1.445989-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(-inf--1.22911]\'',0.625,5.1,0.2,Iris-setosa
'\'(-inf--1.22911]\'',0.416667,4.9,0.2,Iris-setosa
'\'(-inf--1.22911]\'',0.5,4.7,0.2,Iris-setosa
'\'(-inf--1.22911]\'',0.458333,4.6,0.2,Iris-setosa
'\'(-inf--1.22911]\'',0.666667,5,0.2,Iris-setosa
'\'(-1.22911--0.894723]\'',0.791667,5.4,0.4,Iris-setosa
'\'(-inf--1.22911]\'',0.583333,4.6,0.3,Iris-setosa
'\'(-inf--1.22911]\'',0.583333,5,0.2,Iris-setosa
'\'(-inf--1.22911]\'',0.375,4.4,0.2,Iris-setosa
'\'(-inf--1.22911]\'',0.458333,4.9,0.1,Iris-setosa
'\'(-inf--1.22911]\'',0.708333,5.4,0.2,Iris-setosa
'\'(-1.22911--0.894723]\'',0.583333,4.8,0.2,Iris-setosa
'\'(-inf--1.22911]\'',0.416667,4.8,0.1,Iris-setosa
'\'(-inf--1.22911]\'',0.416667,4.3,0.1,Iris-setosa
