@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1'

@attribute 'filtered-0-filtered-0-unfiltered-sepal length in cm' {'\'(-inf-0.152778]\'','\'(0.152778-0.208333]\'','\'(0.208333-0.291667]\'','\'(0.291667-0.347222]\'','\'(0.347222-0.402778]\'','\'(0.402778-0.486111]\'','\'(0.486111-0.569444]\'','\'(0.569444-0.652778]\'','\'(0.652778-0.736111]\'','\'(0.736111-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-petal length in cm' {'\'(-inf-1.59]\'','\'(1.59-2.18]\'','\'(2.18-2.77]\'','\'(2.77-3.36]\'','\'(3.36-3.95]\'','\'(3.95-4.54]\'','\'(4.54-5.13]\'','\'(5.13-5.72]\'','\'(5.72-6.31]\'','\'(6.31-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.208333-0.291667]\'','\'(-inf-1.59]\'',3.5,0.2,Iris-setosa
'\'(0.152778-0.208333]\'','\'(-inf-1.59]\'',3,0.2,Iris-setosa
'\'(-inf-0.152778]\'','\'(-inf-1.59]\'',3.2,0.2,Iris-setosa
'\'(-inf-0.152778]\'','\'(-inf-1.59]\'',3.1,0.2,Iris-setosa
'\'(0.152778-0.208333]\'','\'(-inf-1.59]\'',3.6,0.2,Iris-setosa
'\'(0.291667-0.347222]\'','\'(1.59-2.18]\'',3.9,0.4,Iris-setosa
'\'(-inf-0.152778]\'','\'(-inf-1.59]\'',3.4,0.3,Iris-setosa
'\'(0.152778-0.208333]\'','\'(-inf-1.59]\'',3.4,0.2,Iris-setosa
'\'(-inf-0.152778]\'','\'(-inf-1.59]\'',2.9,0.2,Iris-setosa
'\'(0.152778-0.208333]\'','\'(-inf-1.59]\'',3.1,0.1,Iris-setosa
'\'(0.291667-0.347222]\'','\'(-inf-1.59]\'',3.7,0.2,Iris-setosa
'\'(-inf-0.152778]\'','\'(1.59-2.18]\'',3.4,0.2,Iris-setosa
'\'(-inf-0.152778]\'','\'(-inf-1.59]\'',3,0.1,Iris-setosa
'\'(-inf-0.152778]\'','\'(-inf-1.59]\'',3,0.1,Iris-setosa
'\'(0.402778-0.486111]\'','\'(-inf-1.59]\'',4,0.2,Iris-setosa
