@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1'

@attribute 'filtered-0-filtered-0-unfiltered-sepal length in cm' {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-petal length in cm' {'\'(-inf-1.59]\'','\'(1.59-2.18]\'','\'(2.18-2.77]\'','\'(2.77-3.36]\'','\'(3.36-3.95]\'','\'(3.95-4.54]\'','\'(4.54-5.13]\'','\'(5.13-5.72]\'','\'(5.72-6.31]\'','\'(6.31-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.2-0.3]\'','\'(-inf-1.59]\'',3.5,0.2,Iris-setosa
'\'(0.1-0.2]\'','\'(-inf-1.59]\'',3,0.2,Iris-setosa
'\'(0.1-0.2]\'','\'(-inf-1.59]\'',3.2,0.2,Iris-setosa
'\'(-inf-0.1]\'','\'(-inf-1.59]\'',3.1,0.2,Iris-setosa
'\'(0.1-0.2]\'','\'(-inf-1.59]\'',3.6,0.2,Iris-setosa
'\'(0.3-0.4]\'','\'(1.59-2.18]\'',3.9,0.4,Iris-setosa
'\'(-inf-0.1]\'','\'(-inf-1.59]\'',3.4,0.3,Iris-setosa
'\'(0.1-0.2]\'','\'(-inf-1.59]\'',3.4,0.2,Iris-setosa
'\'(-inf-0.1]\'','\'(-inf-1.59]\'',2.9,0.2,Iris-setosa
'\'(0.1-0.2]\'','\'(-inf-1.59]\'',3.1,0.1,Iris-setosa
'\'(0.3-0.4]\'','\'(-inf-1.59]\'',3.7,0.2,Iris-setosa
'\'(0.1-0.2]\'','\'(1.59-2.18]\'',3.4,0.2,Iris-setosa
'\'(0.1-0.2]\'','\'(-inf-1.59]\'',3,0.1,Iris-setosa
'\'(-inf-0.1]\'','\'(-inf-1.59]\'',3,0.1,Iris-setosa
'\'(0.4-0.5]\'','\'(-inf-1.59]\'',4,0.2,Iris-setosa
'\'(0.3-0.4]\'','\'(-inf-1.59]\'',4.4,0.4,Iris-setosa
'\'(0.3-0.4]\'','\'(-inf-1.59]\'',3.9,0.4,Iris-setosa
'\'(0.2-0.3]\'','\'(-inf-1.59]\'',3.5,0.3,Iris-setosa
'\'(0.3-0.4]\'','\'(1.59-2.18]\'',3.8,0.3,Iris-setosa
'\'(0.2-0.3]\'','\'(-inf-1.59]\'',3.8,0.3,Iris-setosa
'\'(0.3-0.4]\'','\'(1.59-2.18]\'',3.4,0.2,Iris-setosa
'\'(0.2-0.3]\'','\'(-inf-1.59]\'',3.7,0.4,Iris-setosa
'\'(-inf-0.1]\'','\'(-inf-1.59]\'',3.6,0.2,Iris-setosa
'\'(0.2-0.3]\'','\'(1.59-2.18]\'',3.3,0.5,Iris-setosa
'\'(0.1-0.2]\'','\'(1.59-2.18]\'',3.4,0.2,Iris-setosa
'\'(0.1-0.2]\'','\'(1.59-2.18]\'',3,0.2,Iris-setosa
'\'(0.1-0.2]\'','\'(1.59-2.18]\'',3.4,0.4,Iris-setosa
'\'(0.2-0.3]\'','\'(-inf-1.59]\'',3.5,0.2,Iris-setosa
'\'(0.2-0.3]\'','\'(-inf-1.59]\'',3.4,0.2,Iris-setosa
'\'(0.1-0.2]\'','\'(1.59-2.18]\'',3.2,0.2,Iris-setosa
'\'(0.1-0.2]\'','\'(1.59-2.18]\'',3.1,0.2,Iris-setosa
'\'(0.3-0.4]\'','\'(-inf-1.59]\'',3.4,0.4,Iris-setosa
'\'(0.2-0.3]\'','\'(-inf-1.59]\'',4.1,0.1,Iris-setosa
'\'(0.3-0.4]\'','\'(-inf-1.59]\'',4.2,0.2,Iris-setosa
'\'(0.1-0.2]\'','\'(-inf-1.59]\'',3.1,0.1,Iris-setosa
'\'(0.1-0.2]\'','\'(-inf-1.59]\'',3.2,0.2,Iris-setosa
'\'(0.3-0.4]\'','\'(-inf-1.59]\'',3.5,0.2,Iris-setosa
'\'(0.1-0.2]\'','\'(-inf-1.59]\'',3.1,0.1,Iris-setosa
'\'(-inf-0.1]\'','\'(-inf-1.59]\'',3,0.2,Iris-setosa
'\'(0.2-0.3]\'','\'(-inf-1.59]\'',3.4,0.2,Iris-setosa
'\'(0.1-0.2]\'','\'(-inf-1.59]\'',3.5,0.3,Iris-setosa
'\'(-inf-0.1]\'','\'(-inf-1.59]\'',2.3,0.3,Iris-setosa
'\'(-inf-0.1]\'','\'(-inf-1.59]\'',3.2,0.2,Iris-setosa
'\'(0.1-0.2]\'','\'(1.59-2.18]\'',3.5,0.6,Iris-setosa
'\'(0.2-0.3]\'','\'(1.59-2.18]\'',3.8,0.4,Iris-setosa
'\'(0.1-0.2]\'','\'(-inf-1.59]\'',3,0.3,Iris-setosa
'\'(0.2-0.3]\'','\'(1.59-2.18]\'',3.8,0.2,Iris-setosa
'\'(-inf-0.1]\'','\'(-inf-1.59]\'',3.2,0.2,Iris-setosa
'\'(0.2-0.3]\'','\'(-inf-1.59]\'',3.7,0.2,Iris-setosa
'\'(0.1-0.2]\'','\'(-inf-1.59]\'',3.3,0.2,Iris-setosa
'\'(0.7-0.8]\'','\'(4.54-5.13]\'',3.2,1.4,Iris-versicolor
'\'(0.5-0.6]\'','\'(3.95-4.54]\'',3.2,1.5,Iris-versicolor
'\'(0.7-0.8]\'','\'(4.54-5.13]\'',3.1,1.5,Iris-versicolor
'\'(0.3-0.4]\'','\'(3.95-4.54]\'',2.3,1.3,Iris-versicolor
'\'(0.6-0.7]\'','\'(4.54-5.13]\'',2.8,1.5,Iris-versicolor
'\'(0.3-0.4]\'','\'(3.95-4.54]\'',2.8,1.3,Iris-versicolor
'\'(0.5-0.6]\'','\'(4.54-5.13]\'',3.3,1.6,Iris-versicolor
'\'(0.1-0.2]\'','\'(2.77-3.36]\'',2.4,1,Iris-versicolor
'\'(0.6-0.7]\'','\'(4.54-5.13]\'',2.9,1.3,Iris-versicolor
'\'(0.2-0.3]\'','\'(3.36-3.95]\'',2.7,1.4,Iris-versicolor
