@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R1'

@attribute 'filtered-0-filtered-0-unfiltered-sepal length in cm' {'\'(-inf-4.85]\'','\'(4.85-5.05]\'','\'(5.05-5.35]\'','\'(5.35-5.55]\'','\'(5.55-5.75]\'','\'(5.75-6.05]\'','\'(6.05-6.35]\'','\'(6.35-6.65]\'','\'(6.65-6.95]\'','\'(6.95-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(5.05-5.35]\'',0.067797,3.5,0.2,Iris-setosa
'\'(4.85-5.05]\'',0.067797,3,0.2,Iris-setosa
'\'(-inf-4.85]\'',0.050847,3.2,0.2,Iris-setosa
'\'(-inf-4.85]\'',0.084746,3.1,0.2,Iris-setosa
'\'(4.85-5.05]\'',0.067797,3.6,0.2,Iris-setosa
'\'(5.35-5.55]\'',0.118644,3.9,0.4,Iris-setosa
'\'(-inf-4.85]\'',0.067797,3.4,0.3,Iris-setosa
'\'(4.85-5.05]\'',0.084746,3.4,0.2,Iris-setosa
'\'(-inf-4.85]\'',0.067797,2.9,0.2,Iris-setosa
'\'(4.85-5.05]\'',0.084746,3.1,0.1,Iris-setosa
'\'(5.35-5.55]\'',0.084746,3.7,0.2,Iris-setosa
'\'(-inf-4.85]\'',0.101695,3.4,0.2,Iris-setosa
'\'(-inf-4.85]\'',0.067797,3,0.1,Iris-setosa
'\'(-inf-4.85]\'',0.016949,3,0.1,Iris-setosa
'\'(5.75-6.05]\'',0.033898,4,0.2,Iris-setosa
'\'(5.55-5.75]\'',0.084746,4.4,0.4,Iris-setosa
'\'(5.35-5.55]\'',0.050847,3.9,0.4,Iris-setosa
'\'(5.05-5.35]\'',0.067797,3.5,0.3,Iris-setosa
'\'(5.55-5.75]\'',0.118644,3.8,0.3,Iris-setosa
'\'(5.05-5.35]\'',0.084746,3.8,0.3,Iris-setosa
'\'(5.35-5.55]\'',0.118644,3.4,0.2,Iris-setosa
'\'(5.05-5.35]\'',0.084746,3.7,0.4,Iris-setosa
'\'(-inf-4.85]\'',0,3.6,0.2,Iris-setosa
'\'(5.05-5.35]\'',0.118644,3.3,0.5,Iris-setosa
'\'(-inf-4.85]\'',0.152542,3.4,0.2,Iris-setosa
'\'(4.85-5.05]\'',0.101695,3,0.2,Iris-setosa
'\'(4.85-5.05]\'',0.101695,3.4,0.4,Iris-setosa
'\'(5.05-5.35]\'',0.084746,3.5,0.2,Iris-setosa
'\'(5.05-5.35]\'',0.067797,3.4,0.2,Iris-setosa
'\'(-inf-4.85]\'',0.101695,3.2,0.2,Iris-setosa
'\'(-inf-4.85]\'',0.101695,3.1,0.2,Iris-setosa
'\'(5.35-5.55]\'',0.084746,3.4,0.4,Iris-setosa
'\'(5.05-5.35]\'',0.084746,4.1,0.1,Iris-setosa
'\'(5.35-5.55]\'',0.067797,4.2,0.2,Iris-setosa
'\'(4.85-5.05]\'',0.084746,3.1,0.1,Iris-setosa
'\'(4.85-5.05]\'',0.033898,3.2,0.2,Iris-setosa
'\'(5.35-5.55]\'',0.050847,3.5,0.2,Iris-setosa
'\'(4.85-5.05]\'',0.084746,3.1,0.1,Iris-setosa
'\'(-inf-4.85]\'',0.050847,3,0.2,Iris-setosa
'\'(5.05-5.35]\'',0.084746,3.4,0.2,Iris-setosa
'\'(4.85-5.05]\'',0.050847,3.5,0.3,Iris-setosa
'\'(-inf-4.85]\'',0.050847,2.3,0.3,Iris-setosa
'\'(-inf-4.85]\'',0.050847,3.2,0.2,Iris-setosa
'\'(4.85-5.05]\'',0.101695,3.5,0.6,Iris-setosa
'\'(5.05-5.35]\'',0.152542,3.8,0.4,Iris-setosa
'\'(-inf-4.85]\'',0.067797,3,0.3,Iris-setosa
'\'(5.05-5.35]\'',0.101695,3.8,0.2,Iris-setosa
'\'(-inf-4.85]\'',0.067797,3.2,0.2,Iris-setosa
'\'(5.05-5.35]\'',0.084746,3.7,0.2,Iris-setosa
'\'(4.85-5.05]\'',0.067797,3.3,0.2,Iris-setosa
'\'(6.95-inf)\'',0.627119,3.2,1.4,Iris-versicolor
'\'(6.35-6.65]\'',0.59322,3.2,1.5,Iris-versicolor
'\'(6.65-6.95]\'',0.661017,3.1,1.5,Iris-versicolor
'\'(5.35-5.55]\'',0.508475,2.3,1.3,Iris-versicolor
'\'(6.35-6.65]\'',0.610169,2.8,1.5,Iris-versicolor
'\'(5.55-5.75]\'',0.59322,2.8,1.3,Iris-versicolor
'\'(6.05-6.35]\'',0.627119,3.3,1.6,Iris-versicolor
'\'(4.85-5.05]\'',0.389831,2.4,1,Iris-versicolor
'\'(6.35-6.65]\'',0.610169,2.9,1.3,Iris-versicolor
'\'(5.05-5.35]\'',0.491525,2.7,1.4,Iris-versicolor
'\'(4.85-5.05]\'',0.423729,2,1,Iris-versicolor
'\'(5.75-6.05]\'',0.542373,3,1.5,Iris-versicolor
'\'(5.75-6.05]\'',0.508475,2.2,1,Iris-versicolor
'\'(6.05-6.35]\'',0.627119,2.9,1.4,Iris-versicolor
'\'(5.55-5.75]\'',0.440678,2.9,1.3,Iris-versicolor
'\'(6.65-6.95]\'',0.576271,3.1,1.4,Iris-versicolor
'\'(5.55-5.75]\'',0.59322,3,1.5,Iris-versicolor
'\'(5.75-6.05]\'',0.525424,2.7,1,Iris-versicolor
'\'(6.05-6.35]\'',0.59322,2.2,1.5,Iris-versicolor
'\'(5.55-5.75]\'',0.491525,2.5,1.1,Iris-versicolor
'\'(5.75-6.05]\'',0.644068,3.2,1.8,Iris-versicolor
'\'(6.05-6.35]\'',0.508475,2.8,1.3,Iris-versicolor
'\'(6.05-6.35]\'',0.661017,2.5,1.5,Iris-versicolor
'\'(6.05-6.35]\'',0.627119,2.8,1.2,Iris-versicolor
'\'(6.35-6.65]\'',0.559322,2.9,1.3,Iris-versicolor
'\'(6.35-6.65]\'',0.576271,3,1.4,Iris-versicolor
'\'(6.65-6.95]\'',0.644068,2.8,1.4,Iris-versicolor
'\'(6.65-6.95]\'',0.677966,3,1.7,Iris-versicolor
'\'(5.75-6.05]\'',0.59322,2.9,1.5,Iris-versicolor
'\'(5.55-5.75]\'',0.423729,2.6,1,Iris-versicolor
'\'(5.35-5.55]\'',0.474576,2.4,1.1,Iris-versicolor
'\'(5.35-5.55]\'',0.457627,2.4,1,Iris-versicolor
'\'(5.75-6.05]\'',0.491525,2.7,1.2,Iris-versicolor
'\'(5.75-6.05]\'',0.694915,2.7,1.6,Iris-versicolor
'\'(5.35-5.55]\'',0.59322,3,1.5,Iris-versicolor
'\'(5.75-6.05]\'',0.59322,3.4,1.6,Iris-versicolor
'\'(6.65-6.95]\'',0.627119,3.1,1.5,Iris-versicolor
'\'(6.05-6.35]\'',0.576271,2.3,1.3,Iris-versicolor
'\'(5.55-5.75]\'',0.525424,3,1.3,Iris-versicolor
'\'(5.35-5.55]\'',0.508475,2.5,1.3,Iris-versicolor
'\'(5.35-5.55]\'',0.576271,2.6,1.2,Iris-versicolor
'\'(6.05-6.35]\'',0.610169,3,1.4,Iris-versicolor
'\'(5.75-6.05]\'',0.508475,2.6,1.2,Iris-versicolor
'\'(4.85-5.05]\'',0.389831,2.3,1,Iris-versicolor
'\'(5.55-5.75]\'',0.542373,2.7,1.3,Iris-versicolor
'\'(5.55-5.75]\'',0.542373,3,1.2,Iris-versicolor
'\'(5.55-5.75]\'',0.542373,2.9,1.3,Iris-versicolor
'\'(6.05-6.35]\'',0.559322,2.9,1.3,Iris-versicolor
'\'(5.05-5.35]\'',0.338983,2.5,1.1,Iris-versicolor
'\'(5.55-5.75]\'',0.525424,2.8,1.3,Iris-versicolor
'\'(6.05-6.35]\'',0.847458,3.3,2.5,Iris-virginica
'\'(5.75-6.05]\'',0.694915,2.7,1.9,Iris-virginica
'\'(6.95-inf)\'',0.830508,3,2.1,Iris-virginica
'\'(6.05-6.35]\'',0.779661,2.9,1.8,Iris-virginica
'\'(6.35-6.65]\'',0.813559,3,2.2,Iris-virginica
'\'(6.95-inf)\'',0.949153,3,2.1,Iris-virginica
'\'(4.85-5.05]\'',0.59322,2.5,1.7,Iris-virginica
'\'(6.95-inf)\'',0.898305,2.9,1.8,Iris-virginica
'\'(6.65-6.95]\'',0.813559,2.5,1.8,Iris-virginica
