@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R4'

@attribute 'filtered-0-unfiltered-petal width in cm' {'\'(-inf-0.15]\'','\'(0.15-0.25]\'','\'(0.25-0.55]\'','\'(0.55-1.25]\'','\'(1.25-1.35]\'','\'(1.35-1.55]\'','\'(1.55-1.85]\'','\'(1.85-2.05]\'','\'(2.05-2.25]\'','\'(2.25-inf)\''}
@attribute 'unfiltered-filtered-0-petal length in cm' {'\'(-inf-1.59]\'','\'(1.59-2.18]\'','\'(2.18-2.77]\'','\'(2.77-3.36]\'','\'(3.36-3.95]\'','\'(3.95-4.54]\'','\'(4.54-5.13]\'','\'(5.13-5.72]\'','\'(5.72-6.31]\'','\'(6.31-inf)\''}
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.15-0.25]\'','\'(-inf-1.59]\'',5.1,3.5,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-1.59]\'',4.9,3,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-1.59]\'',4.7,3.2,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-1.59]\'',4.6,3.1,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-1.59]\'',5,3.6,Iris-setosa
'\'(0.25-0.55]\'','\'(1.59-2.18]\'',5.4,3.9,Iris-setosa
'\'(0.25-0.55]\'','\'(-inf-1.59]\'',4.6,3.4,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-1.59]\'',5,3.4,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-1.59]\'',4.4,2.9,Iris-setosa
'\'(-inf-0.15]\'','\'(-inf-1.59]\'',4.9,3.1,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-1.59]\'',5.4,3.7,Iris-setosa
'\'(0.15-0.25]\'','\'(1.59-2.18]\'',4.8,3.4,Iris-setosa
'\'(-inf-0.15]\'','\'(-inf-1.59]\'',4.8,3,Iris-setosa
'\'(-inf-0.15]\'','\'(-inf-1.59]\'',4.3,3,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-1.59]\'',5.8,4,Iris-setosa
'\'(0.25-0.55]\'','\'(-inf-1.59]\'',5.7,4.4,Iris-setosa
'\'(0.25-0.55]\'','\'(-inf-1.59]\'',5.4,3.9,Iris-setosa
'\'(0.25-0.55]\'','\'(-inf-1.59]\'',5.1,3.5,Iris-setosa
'\'(0.25-0.55]\'','\'(1.59-2.18]\'',5.7,3.8,Iris-setosa
'\'(0.25-0.55]\'','\'(-inf-1.59]\'',5.1,3.8,Iris-setosa
'\'(0.15-0.25]\'','\'(1.59-2.18]\'',5.4,3.4,Iris-setosa
'\'(0.25-0.55]\'','\'(-inf-1.59]\'',5.1,3.7,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-1.59]\'',4.6,3.6,Iris-setosa
'\'(0.25-0.55]\'','\'(1.59-2.18]\'',5.1,3.3,Iris-setosa
'\'(0.15-0.25]\'','\'(1.59-2.18]\'',4.8,3.4,Iris-setosa
'\'(0.15-0.25]\'','\'(1.59-2.18]\'',5,3,Iris-setosa
'\'(0.25-0.55]\'','\'(1.59-2.18]\'',5,3.4,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-1.59]\'',5.2,3.5,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-1.59]\'',5.2,3.4,Iris-setosa
'\'(0.15-0.25]\'','\'(1.59-2.18]\'',4.7,3.2,Iris-setosa
'\'(0.15-0.25]\'','\'(1.59-2.18]\'',4.8,3.1,Iris-setosa
'\'(0.25-0.55]\'','\'(-inf-1.59]\'',5.4,3.4,Iris-setosa
'\'(-inf-0.15]\'','\'(-inf-1.59]\'',5.2,4.1,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-1.59]\'',5.5,4.2,Iris-setosa
'\'(-inf-0.15]\'','\'(-inf-1.59]\'',4.9,3.1,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-1.59]\'',5,3.2,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-1.59]\'',5.5,3.5,Iris-setosa
'\'(-inf-0.15]\'','\'(-inf-1.59]\'',4.9,3.1,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-1.59]\'',4.4,3,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-1.59]\'',5.1,3.4,Iris-setosa
'\'(0.25-0.55]\'','\'(-inf-1.59]\'',5,3.5,Iris-setosa
'\'(0.25-0.55]\'','\'(-inf-1.59]\'',4.5,2.3,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-1.59]\'',4.4,3.2,Iris-setosa
'\'(0.55-1.25]\'','\'(1.59-2.18]\'',5,3.5,Iris-setosa
'\'(0.25-0.55]\'','\'(1.59-2.18]\'',5.1,3.8,Iris-setosa
'\'(0.25-0.55]\'','\'(-inf-1.59]\'',4.8,3,Iris-setosa
'\'(0.15-0.25]\'','\'(1.59-2.18]\'',5.1,3.8,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-1.59]\'',4.6,3.2,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-1.59]\'',5.3,3.7,Iris-setosa
'\'(0.15-0.25]\'','\'(-inf-1.59]\'',5,3.3,Iris-setosa
'\'(1.35-1.55]\'','\'(4.54-5.13]\'',7,3.2,Iris-versicolor
'\'(1.35-1.55]\'','\'(3.95-4.54]\'',6.4,3.2,Iris-versicolor
'\'(1.35-1.55]\'','\'(4.54-5.13]\'',6.9,3.1,Iris-versicolor
'\'(1.25-1.35]\'','\'(3.95-4.54]\'',5.5,2.3,Iris-versicolor
'\'(1.35-1.55]\'','\'(4.54-5.13]\'',6.5,2.8,Iris-versicolor
'\'(1.25-1.35]\'','\'(3.95-4.54]\'',5.7,2.8,Iris-versicolor
'\'(1.55-1.85]\'','\'(4.54-5.13]\'',6.3,3.3,Iris-versicolor
'\'(0.55-1.25]\'','\'(2.77-3.36]\'',4.9,2.4,Iris-versicolor
'\'(1.25-1.35]\'','\'(4.54-5.13]\'',6.6,2.9,Iris-versicolor
'\'(1.35-1.55]\'','\'(3.36-3.95]\'',5.2,2.7,Iris-versicolor
