@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R4'

@attribute 'filtered-0-unfiltered-petal width in cm' {'\'(-inf-0.34]\'','\'(0.34-0.58]\'','\'(0.58-0.82]\'','\'(0.82-1.06]\'','\'(1.06-1.3]\'','\'(1.3-1.54]\'','\'(1.54-1.78]\'','\'(1.78-2.02]\'','\'(2.02-2.26]\'','\'(2.26-inf)\''}
@attribute 'unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(-inf-0.34]\'',1.021997,5.1,1.4,Iris-setosa
'\'(-inf-0.34]\'',-0.129876,4.9,1.4,Iris-setosa
'\'(-inf-0.34]\'',0.330873,4.7,1.3,Iris-setosa
'\'(-inf-0.34]\'',0.100499,4.6,1.5,Iris-setosa
'\'(-inf-0.34]\'',1.252371,5,1.4,Iris-setosa
'\'(0.34-0.58]\'',1.943494,5.4,1.7,Iris-setosa
'\'(-inf-0.34]\'',0.791622,4.6,1.4,Iris-setosa
'\'(-inf-0.34]\'',0.791622,5,1.5,Iris-setosa
'\'(-inf-0.34]\'',-0.36025,4.4,1.4,Iris-setosa
'\'(-inf-0.34]\'',0.100499,4.9,1.5,Iris-setosa
'\'(-inf-0.34]\'',1.482746,5.4,1.5,Iris-setosa
'\'(-inf-0.34]\'',0.791622,4.8,1.6,Iris-setosa
'\'(-inf-0.34]\'',-0.129876,4.8,1.4,Iris-setosa
'\'(-inf-0.34]\'',-0.129876,4.3,1.1,Iris-setosa
'\'(-inf-0.34]\'',2.173869,5.8,1.2,Iris-setosa
'\'(0.34-0.58]\'',3.095367,5.7,1.5,Iris-setosa
'\'(0.34-0.58]\'',1.943494,5.4,1.3,Iris-setosa
'\'(-inf-0.34]\'',1.021997,5.1,1.4,Iris-setosa
'\'(-inf-0.34]\'',1.71312,5.7,1.7,Iris-setosa
'\'(-inf-0.34]\'',1.71312,5.1,1.5,Iris-setosa
'\'(-inf-0.34]\'',0.791622,5.4,1.7,Iris-setosa
'\'(0.34-0.58]\'',1.482746,5.1,1.5,Iris-setosa
'\'(-inf-0.34]\'',1.252371,4.6,1,Iris-setosa
'\'(0.34-0.58]\'',0.561248,5.1,1.7,Iris-setosa
'\'(-inf-0.34]\'',0.791622,4.8,1.9,Iris-setosa
'\'(-inf-0.34]\'',-0.129876,5,1.6,Iris-setosa
'\'(0.34-0.58]\'',0.791622,5,1.6,Iris-setosa
'\'(-inf-0.34]\'',1.021997,5.2,1.5,Iris-setosa
'\'(-inf-0.34]\'',0.791622,5.2,1.4,Iris-setosa
'\'(-inf-0.34]\'',0.330873,4.7,1.6,Iris-setosa
'\'(-inf-0.34]\'',0.100499,4.8,1.6,Iris-setosa
'\'(0.34-0.58]\'',0.791622,5.4,1.5,Iris-setosa
'\'(-inf-0.34]\'',2.404243,5.2,1.5,Iris-setosa
'\'(-inf-0.34]\'',2.634618,5.5,1.4,Iris-setosa
'\'(-inf-0.34]\'',0.100499,4.9,1.5,Iris-setosa
'\'(-inf-0.34]\'',0.330873,5,1.2,Iris-setosa
'\'(-inf-0.34]\'',1.021997,5.5,1.3,Iris-setosa
'\'(-inf-0.34]\'',0.100499,4.9,1.5,Iris-setosa
'\'(-inf-0.34]\'',-0.129876,4.4,1.3,Iris-setosa
'\'(-inf-0.34]\'',0.791622,5.1,1.5,Iris-setosa
'\'(-inf-0.34]\'',1.021997,5,1.3,Iris-setosa
'\'(-inf-0.34]\'',-1.742497,4.5,1.3,Iris-setosa
'\'(-inf-0.34]\'',0.330873,4.4,1.3,Iris-setosa
'\'(0.58-0.82]\'',1.021997,5,1.6,Iris-setosa
'\'(0.34-0.58]\'',1.71312,5.1,1.9,Iris-setosa
'\'(-inf-0.34]\'',-0.129876,4.8,1.4,Iris-setosa
'\'(-inf-0.34]\'',1.71312,5.1,1.6,Iris-setosa
'\'(-inf-0.34]\'',0.330873,4.6,1.4,Iris-setosa
'\'(-inf-0.34]\'',1.482746,5.3,1.5,Iris-setosa
'\'(-inf-0.34]\'',0.561248,5,1.4,Iris-setosa
'\'(1.3-1.54]\'',0.330873,7,4.7,Iris-versicolor
'\'(1.3-1.54]\'',0.330873,6.4,4.5,Iris-versicolor
'\'(1.3-1.54]\'',0.100499,6.9,4.9,Iris-versicolor
'\'(1.06-1.3]\'',-1.742497,5.5,4,Iris-versicolor
'\'(1.3-1.54]\'',-0.590624,6.5,4.6,Iris-versicolor
'\'(1.06-1.3]\'',-0.590624,5.7,4.5,Iris-versicolor
'\'(1.54-1.78]\'',0.561248,6.3,4.7,Iris-versicolor
'\'(0.82-1.06]\'',-1.512122,4.9,3.3,Iris-versicolor
'\'(1.06-1.3]\'',-0.36025,6.6,4.6,Iris-versicolor
'\'(1.3-1.54]\'',-0.820999,5.2,3.9,Iris-versicolor
'\'(0.82-1.06]\'',-2.43362,5,3.5,Iris-versicolor
'\'(1.3-1.54]\'',-0.129876,5.9,4.2,Iris-versicolor
'\'(0.82-1.06]\'',-1.972871,6,4,Iris-versicolor
'\'(1.3-1.54]\'',-0.36025,6.1,4.7,Iris-versicolor
'\'(1.06-1.3]\'',-0.36025,5.6,3.6,Iris-versicolor
'\'(1.3-1.54]\'',0.100499,6.7,4.4,Iris-versicolor
'\'(1.3-1.54]\'',-0.129876,5.6,4.5,Iris-versicolor
'\'(0.82-1.06]\'',-0.820999,5.8,4.1,Iris-versicolor
'\'(1.3-1.54]\'',-1.972871,6.2,4.5,Iris-versicolor
'\'(1.06-1.3]\'',-1.281748,5.6,3.9,Iris-versicolor
'\'(1.78-2.02]\'',0.330873,5.9,4.8,Iris-versicolor
'\'(1.06-1.3]\'',-0.590624,6.1,4,Iris-versicolor
'\'(1.3-1.54]\'',-1.281748,6.3,4.9,Iris-versicolor
'\'(1.06-1.3]\'',-0.590624,6.1,4.7,Iris-versicolor
'\'(1.06-1.3]\'',-0.36025,6.4,4.3,Iris-versicolor
'\'(1.3-1.54]\'',-0.129876,6.6,4.4,Iris-versicolor
'\'(1.3-1.54]\'',-0.590624,6.8,4.8,Iris-versicolor
'\'(1.54-1.78]\'',-0.129876,6.7,5,Iris-versicolor
'\'(1.3-1.54]\'',-0.36025,6,4.5,Iris-versicolor
'\'(0.82-1.06]\'',-1.051373,5.7,3.5,Iris-versicolor
'\'(1.06-1.3]\'',-1.512122,5.5,3.8,Iris-versicolor
'\'(0.82-1.06]\'',-1.512122,5.5,3.7,Iris-versicolor
'\'(1.06-1.3]\'',-0.820999,5.8,3.9,Iris-versicolor
'\'(1.54-1.78]\'',-0.820999,6,5.1,Iris-versicolor
'\'(1.3-1.54]\'',-0.129876,5.4,4.5,Iris-versicolor
'\'(1.54-1.78]\'',0.791622,6,4.5,Iris-versicolor
'\'(1.3-1.54]\'',0.100499,6.7,4.7,Iris-versicolor
'\'(1.06-1.3]\'',-1.742497,6.3,4.4,Iris-versicolor
'\'(1.06-1.3]\'',-0.129876,5.6,4.1,Iris-versicolor
'\'(1.06-1.3]\'',-1.281748,5.5,4,Iris-versicolor
'\'(1.06-1.3]\'',-1.051373,5.5,4.4,Iris-versicolor
'\'(1.3-1.54]\'',-0.129876,6.1,4.6,Iris-versicolor
'\'(1.06-1.3]\'',-1.051373,5.8,4,Iris-versicolor
'\'(0.82-1.06]\'',-1.742497,5,3.3,Iris-versicolor
'\'(1.06-1.3]\'',-0.820999,5.6,4.2,Iris-versicolor
'\'(1.06-1.3]\'',-0.129876,5.7,4.2,Iris-versicolor
'\'(1.06-1.3]\'',-0.36025,5.7,4.2,Iris-versicolor
'\'(1.06-1.3]\'',-0.36025,6.2,4.3,Iris-versicolor
'\'(1.06-1.3]\'',-1.281748,5.1,3,Iris-versicolor
'\'(1.06-1.3]\'',-0.590624,5.7,4.1,Iris-versicolor
'\'(2.26-inf)\'',0.561248,6.3,6,Iris-virginica
'\'(1.78-2.02]\'',-0.820999,5.8,5.1,Iris-virginica
'\'(2.02-2.26]\'',-0.129876,7.1,5.9,Iris-virginica
'\'(1.78-2.02]\'',-0.36025,6.3,5.6,Iris-virginica
'\'(2.02-2.26]\'',-0.129876,6.5,5.8,Iris-virginica
