@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R1'

@attribute 'filtered-0-filtered-0-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.067797,1.028611,5.1,0.2,Iris-setosa
0.067797,-0.12454,4.9,0.2,Iris-setosa
0.050847,0.33672,4.7,0.2,Iris-setosa
0.084746,0.10609,4.6,0.2,Iris-setosa
0.067797,1.259242,5,0.2,Iris-setosa
0.118644,1.951133,5.4,0.4,Iris-setosa
0.067797,0.797981,4.6,0.3,Iris-setosa
0.084746,0.797981,5,0.2,Iris-setosa
0.067797,-0.355171,4.4,0.2,Iris-setosa
0.084746,0.10609,4.9,0.1,Iris-setosa
0.084746,1.489872,5.4,0.2,Iris-setosa
0.101695,0.797981,4.8,0.2,Iris-setosa
0.067797,-0.12454,4.8,0.1,Iris-setosa
0.016949,-0.12454,4.3,0.1,Iris-setosa
0.033898,2.181763,5.8,0.2,Iris-setosa
0.084746,3.104284,5.7,0.4,Iris-setosa
0.050847,1.951133,5.4,0.4,Iris-setosa
0.067797,1.028611,5.1,0.3,Iris-setosa
0.118644,1.720502,5.7,0.3,Iris-setosa
0.084746,1.720502,5.1,0.3,Iris-setosa
0.118644,0.797981,5.4,0.2,Iris-setosa
0.084746,1.489872,5.1,0.4,Iris-setosa
0,1.259242,4.6,0.2,Iris-setosa
0.118644,0.567351,5.1,0.5,Iris-setosa
0.152542,0.797981,4.8,0.2,Iris-setosa
0.101695,-0.12454,5,0.2,Iris-setosa
0.101695,0.797981,5,0.4,Iris-setosa
0.084746,1.028611,5.2,0.2,Iris-setosa
0.067797,0.797981,5.2,0.2,Iris-setosa
0.101695,0.33672,4.7,0.2,Iris-setosa
0.101695,0.10609,4.8,0.2,Iris-setosa
0.084746,0.797981,5.4,0.4,Iris-setosa
0.084746,2.412393,5.2,0.1,Iris-setosa
0.067797,2.643024,5.5,0.2,Iris-setosa
0.084746,0.10609,4.9,0.1,Iris-setosa
0.033898,0.33672,5,0.2,Iris-setosa
0.050847,1.028611,5.5,0.2,Iris-setosa
0.084746,0.10609,4.9,0.1,Iris-setosa
0.050847,-0.12454,4.4,0.2,Iris-setosa
0.084746,0.797981,5.1,0.2,Iris-setosa
0.050847,1.028611,5,0.3,Iris-setosa
0.050847,-1.738953,4.5,0.3,Iris-setosa
0.050847,0.33672,4.4,0.2,Iris-setosa
0.101695,1.028611,5,0.6,Iris-setosa
0.152542,1.720502,5.1,0.4,Iris-setosa
0.067797,-0.12454,4.8,0.3,Iris-setosa
0.101695,1.720502,5.1,0.2,Iris-setosa
0.067797,0.33672,4.6,0.2,Iris-setosa
0.084746,1.489872,5.3,0.2,Iris-setosa
0.067797,0.567351,5,0.2,Iris-setosa
0.627119,0.33672,7,1.4,Iris-versicolor
0.59322,0.33672,6.4,1.5,Iris-versicolor
0.661017,0.10609,6.9,1.5,Iris-versicolor
0.508475,-1.738953,5.5,1.3,Iris-versicolor
0.610169,-0.585801,6.5,1.5,Iris-versicolor
0.59322,-0.585801,5.7,1.3,Iris-versicolor
0.627119,0.567351,6.3,1.6,Iris-versicolor
0.389831,-1.508322,4.9,1,Iris-versicolor
0.610169,-0.355171,6.6,1.3,Iris-versicolor
0.491525,-0.816431,5.2,1.4,Iris-versicolor
0.423729,-2.430844,5,1,Iris-versicolor
0.542373,-0.12454,5.9,1.5,Iris-versicolor
0.508475,-1.969583,6,1,Iris-versicolor
0.627119,-0.355171,6.1,1.4,Iris-versicolor
0.440678,-0.355171,5.6,1.3,Iris-versicolor
0.576271,0.10609,6.7,1.4,Iris-versicolor
0.59322,-0.12454,5.6,1.5,Iris-versicolor
0.525424,-0.816431,5.8,1,Iris-versicolor
0.59322,-1.969583,6.2,1.5,Iris-versicolor
0.491525,-1.277692,5.6,1.1,Iris-versicolor
0.644068,0.33672,5.9,1.8,Iris-versicolor
0.508475,-0.585801,6.1,1.3,Iris-versicolor
0.661017,-1.277692,6.3,1.5,Iris-versicolor
0.627119,-0.585801,6.1,1.2,Iris-versicolor
0.559322,-0.355171,6.4,1.3,Iris-versicolor
0.576271,-0.12454,6.6,1.4,Iris-versicolor
0.644068,-0.585801,6.8,1.4,Iris-versicolor
0.677966,-0.12454,6.7,1.7,Iris-versicolor
0.59322,-0.355171,6,1.5,Iris-versicolor
0.423729,-1.047062,5.7,1,Iris-versicolor
0.474576,-1.508322,5.5,1.1,Iris-versicolor
0.457627,-1.508322,5.5,1,Iris-versicolor
0.491525,-0.816431,5.8,1.2,Iris-versicolor
0.694915,-0.816431,6,1.6,Iris-versicolor
0.59322,-0.12454,5.4,1.5,Iris-versicolor
0.59322,0.797981,6,1.6,Iris-versicolor
0.627119,0.10609,6.7,1.5,Iris-versicolor
0.576271,-1.738953,6.3,1.3,Iris-versicolor
0.525424,-0.12454,5.6,1.3,Iris-versicolor
0.508475,-1.277692,5.5,1.3,Iris-versicolor
0.576271,-1.047062,5.5,1.2,Iris-versicolor
0.610169,-0.12454,6.1,1.4,Iris-versicolor
0.508475,-1.047062,5.8,1.2,Iris-versicolor
0.389831,-1.738953,5,1,Iris-versicolor
