@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3'

@attribute 'filtered-0-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-filtered-0-petal width in cm' {'\'(-inf-0.34]\'','\'(0.34-0.58]\'','\'(0.58-0.82]\'','\'(0.82-1.06]\'','\'(1.06-1.3]\'','\'(1.3-1.54]\'','\'(1.54-1.78]\'','\'(1.78-2.02]\'','\'(2.02-2.26]\'','\'(2.26-inf)\''}
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
1.028611,'\'(-inf-0.34]\'',5.1,1.4,Iris-setosa
-0.12454,'\'(-inf-0.34]\'',4.9,1.4,Iris-setosa
0.33672,'\'(-inf-0.34]\'',4.7,1.3,Iris-setosa
0.10609,'\'(-inf-0.34]\'',4.6,1.5,Iris-setosa
1.259242,'\'(-inf-0.34]\'',5,1.4,Iris-setosa
1.951133,'\'(0.34-0.58]\'',5.4,1.7,Iris-setosa
0.797981,'\'(-inf-0.34]\'',4.6,1.4,Iris-setosa
0.797981,'\'(-inf-0.34]\'',5,1.5,Iris-setosa
-0.355171,'\'(-inf-0.34]\'',4.4,1.4,Iris-setosa
0.10609,'\'(-inf-0.34]\'',4.9,1.5,Iris-setosa
1.489872,'\'(-inf-0.34]\'',5.4,1.5,Iris-setosa
0.797981,'\'(-inf-0.34]\'',4.8,1.6,Iris-setosa
-0.12454,'\'(-inf-0.34]\'',4.8,1.4,Iris-setosa
-0.12454,'\'(-inf-0.34]\'',4.3,1.1,Iris-setosa
2.181763,'\'(-inf-0.34]\'',5.8,1.2,Iris-setosa
3.104284,'\'(0.34-0.58]\'',5.7,1.5,Iris-setosa
1.951133,'\'(0.34-0.58]\'',5.4,1.3,Iris-setosa
1.028611,'\'(-inf-0.34]\'',5.1,1.4,Iris-setosa
1.720502,'\'(-inf-0.34]\'',5.7,1.7,Iris-setosa
1.720502,'\'(-inf-0.34]\'',5.1,1.5,Iris-setosa
0.797981,'\'(-inf-0.34]\'',5.4,1.7,Iris-setosa
1.489872,'\'(0.34-0.58]\'',5.1,1.5,Iris-setosa
1.259242,'\'(-inf-0.34]\'',4.6,1,Iris-setosa
0.567351,'\'(0.34-0.58]\'',5.1,1.7,Iris-setosa
0.797981,'\'(-inf-0.34]\'',4.8,1.9,Iris-setosa
-0.12454,'\'(-inf-0.34]\'',5,1.6,Iris-setosa
0.797981,'\'(0.34-0.58]\'',5,1.6,Iris-setosa
1.028611,'\'(-inf-0.34]\'',5.2,1.5,Iris-setosa
0.797981,'\'(-inf-0.34]\'',5.2,1.4,Iris-setosa
0.33672,'\'(-inf-0.34]\'',4.7,1.6,Iris-setosa
0.10609,'\'(-inf-0.34]\'',4.8,1.6,Iris-setosa
0.797981,'\'(0.34-0.58]\'',5.4,1.5,Iris-setosa
2.412393,'\'(-inf-0.34]\'',5.2,1.5,Iris-setosa
2.643024,'\'(-inf-0.34]\'',5.5,1.4,Iris-setosa
0.10609,'\'(-inf-0.34]\'',4.9,1.5,Iris-setosa
0.33672,'\'(-inf-0.34]\'',5,1.2,Iris-setosa
1.028611,'\'(-inf-0.34]\'',5.5,1.3,Iris-setosa
0.10609,'\'(-inf-0.34]\'',4.9,1.5,Iris-setosa
-0.12454,'\'(-inf-0.34]\'',4.4,1.3,Iris-setosa
0.797981,'\'(-inf-0.34]\'',5.1,1.5,Iris-setosa
1.028611,'\'(-inf-0.34]\'',5,1.3,Iris-setosa
-1.738953,'\'(-inf-0.34]\'',4.5,1.3,Iris-setosa
0.33672,'\'(-inf-0.34]\'',4.4,1.3,Iris-setosa
1.028611,'\'(0.58-0.82]\'',5,1.6,Iris-setosa
1.720502,'\'(0.34-0.58]\'',5.1,1.9,Iris-setosa
-0.12454,'\'(-inf-0.34]\'',4.8,1.4,Iris-setosa
1.720502,'\'(-inf-0.34]\'',5.1,1.6,Iris-setosa
0.33672,'\'(-inf-0.34]\'',4.6,1.4,Iris-setosa
1.489872,'\'(-inf-0.34]\'',5.3,1.5,Iris-setosa
0.567351,'\'(-inf-0.34]\'',5,1.4,Iris-setosa
0.33672,'\'(1.3-1.54]\'',7,4.7,Iris-versicolor
0.33672,'\'(1.3-1.54]\'',6.4,4.5,Iris-versicolor
0.10609,'\'(1.3-1.54]\'',6.9,4.9,Iris-versicolor
-1.738953,'\'(1.06-1.3]\'',5.5,4,Iris-versicolor
-0.585801,'\'(1.3-1.54]\'',6.5,4.6,Iris-versicolor
-0.585801,'\'(1.06-1.3]\'',5.7,4.5,Iris-versicolor
