@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-sepal width in cm' {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.041667,'\'(0.6-0.7]\'',5.1,1.4,Iris-setosa
0.041667,'\'(0.4-0.5]\'',4.9,1.4,Iris-setosa
0.041667,'\'(0.4-0.5]\'',4.7,1.3,Iris-setosa
0.041667,'\'(0.4-0.5]\'',4.6,1.5,Iris-setosa
0.041667,'\'(0.6-0.7]\'',5,1.4,Iris-setosa
0.125,'\'(0.7-0.8]\'',5.4,1.7,Iris-setosa
0.083333,'\'(0.5-0.6]\'',4.6,1.4,Iris-setosa
0.041667,'\'(0.5-0.6]\'',5,1.5,Iris-setosa
0.041667,'\'(0.3-0.4]\'',4.4,1.4,Iris-setosa
0,'\'(0.4-0.5]\'',4.9,1.5,Iris-setosa
0.041667,'\'(0.7-0.8]\'',5.4,1.5,Iris-setosa
0.041667,'\'(0.5-0.6]\'',4.8,1.6,Iris-setosa
0,'\'(0.4-0.5]\'',4.8,1.4,Iris-setosa
0,'\'(0.4-0.5]\'',4.3,1.1,Iris-setosa
0.041667,'\'(0.8-0.9]\'',5.8,1.2,Iris-setosa
0.125,'\'(0.9-inf)\'',5.7,1.5,Iris-setosa
0.125,'\'(0.7-0.8]\'',5.4,1.3,Iris-setosa
0.083333,'\'(0.6-0.7]\'',5.1,1.4,Iris-setosa
0.083333,'\'(0.7-0.8]\'',5.7,1.7,Iris-setosa
0.083333,'\'(0.7-0.8]\'',5.1,1.5,Iris-setosa
0.041667,'\'(0.5-0.6]\'',5.4,1.7,Iris-setosa
0.125,'\'(0.7-0.8]\'',5.1,1.5,Iris-setosa
0.041667,'\'(0.6-0.7]\'',4.6,1,Iris-setosa
0.166667,'\'(0.5-0.6]\'',5.1,1.7,Iris-setosa
0.041667,'\'(0.5-0.6]\'',4.8,1.9,Iris-setosa
0.041667,'\'(0.4-0.5]\'',5,1.6,Iris-setosa
0.125,'\'(0.5-0.6]\'',5,1.6,Iris-setosa
0.041667,'\'(0.6-0.7]\'',5.2,1.5,Iris-setosa
0.041667,'\'(0.5-0.6]\'',5.2,1.4,Iris-setosa
0.041667,'\'(0.4-0.5]\'',4.7,1.6,Iris-setosa
0.041667,'\'(0.4-0.5]\'',4.8,1.6,Iris-setosa
0.125,'\'(0.5-0.6]\'',5.4,1.5,Iris-setosa
0,'\'(0.8-0.9]\'',5.2,1.5,Iris-setosa
