@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1'

@attribute 'filtered-0-filtered-0-unfiltered-sepal length in cm' {'\'(-inf-4.66]\'','\'(4.66-5.02]\'','\'(5.02-5.38]\'','\'(5.38-5.74]\'','\'(5.74-6.1]\'','\'(6.1-6.46]\'','\'(6.46-6.82]\'','\'(6.82-7.18]\'','\'(7.18-7.54]\'','\'(7.54-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-petal length in cm' {'\'(-inf-1.59]\'','\'(1.59-2.18]\'','\'(2.18-2.77]\'','\'(2.77-3.36]\'','\'(3.36-3.95]\'','\'(3.95-4.54]\'','\'(4.54-5.13]\'','\'(5.13-5.72]\'','\'(5.72-6.31]\'','\'(6.31-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(5.02-5.38]\'','\'(-inf-1.59]\'',3.5,0.2,Iris-setosa
'\'(4.66-5.02]\'','\'(-inf-1.59]\'',3,0.2,Iris-setosa
'\'(4.66-5.02]\'','\'(-inf-1.59]\'',3.2,0.2,Iris-setosa
'\'(-inf-4.66]\'','\'(-inf-1.59]\'',3.1,0.2,Iris-setosa
'\'(4.66-5.02]\'','\'(-inf-1.59]\'',3.6,0.2,Iris-setosa
'\'(5.38-5.74]\'','\'(1.59-2.18]\'',3.9,0.4,Iris-setosa
'\'(-inf-4.66]\'','\'(-inf-1.59]\'',3.4,0.3,Iris-setosa
'\'(4.66-5.02]\'','\'(-inf-1.59]\'',3.4,0.2,Iris-setosa
'\'(-inf-4.66]\'','\'(-inf-1.59]\'',2.9,0.2,Iris-setosa
'\'(4.66-5.02]\'','\'(-inf-1.59]\'',3.1,0.1,Iris-setosa
'\'(5.38-5.74]\'','\'(-inf-1.59]\'',3.7,0.2,Iris-setosa
'\'(4.66-5.02]\'','\'(1.59-2.18]\'',3.4,0.2,Iris-setosa
'\'(4.66-5.02]\'','\'(-inf-1.59]\'',3,0.1,Iris-setosa
'\'(-inf-4.66]\'','\'(-inf-1.59]\'',3,0.1,Iris-setosa
'\'(5.74-6.1]\'','\'(-inf-1.59]\'',4,0.2,Iris-setosa
'\'(5.38-5.74]\'','\'(-inf-1.59]\'',4.4,0.4,Iris-setosa
'\'(5.38-5.74]\'','\'(-inf-1.59]\'',3.9,0.4,Iris-setosa
'\'(5.02-5.38]\'','\'(-inf-1.59]\'',3.5,0.3,Iris-setosa
'\'(5.38-5.74]\'','\'(1.59-2.18]\'',3.8,0.3,Iris-setosa
'\'(5.02-5.38]\'','\'(-inf-1.59]\'',3.8,0.3,Iris-setosa
'\'(5.38-5.74]\'','\'(1.59-2.18]\'',3.4,0.2,Iris-setosa
'\'(5.02-5.38]\'','\'(-inf-1.59]\'',3.7,0.4,Iris-setosa
'\'(-inf-4.66]\'','\'(-inf-1.59]\'',3.6,0.2,Iris-setosa
'\'(5.02-5.38]\'','\'(1.59-2.18]\'',3.3,0.5,Iris-setosa
