@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R1'

@attribute 'filtered-0-filtered-0-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.067797,0.625,5.1,0.2,Iris-setosa
0.067797,0.416667,4.9,0.2,Iris-setosa
0.050847,0.5,4.7,0.2,Iris-setosa
0.084746,0.458333,4.6,0.2,Iris-setosa
0.067797,0.666667,5,0.2,Iris-setosa
0.118644,0.791667,5.4,0.4,Iris-setosa
0.067797,0.583333,4.6,0.3,Iris-setosa
0.084746,0.583333,5,0.2,Iris-setosa
0.067797,0.375,4.4,0.2,Iris-setosa
0.084746,0.458333,4.9,0.1,Iris-setosa
0.084746,0.708333,5.4,0.2,Iris-setosa
0.101695,0.583333,4.8,0.2,Iris-setosa
0.067797,0.416667,4.8,0.1,Iris-setosa
0.016949,0.416667,4.3,0.1,Iris-setosa
0.033898,0.833333,5.8,0.2,Iris-setosa
0.084746,1,5.7,0.4,Iris-setosa
0.050847,0.791667,5.4,0.4,Iris-setosa
0.067797,0.625,5.1,0.3,Iris-setosa
0.118644,0.75,5.7,0.3,Iris-setosa
0.084746,0.75,5.1,0.3,Iris-setosa
0.118644,0.583333,5.4,0.2,Iris-setosa
0.084746,0.708333,5.1,0.4,Iris-setosa
0,0.666667,4.6,0.2,Iris-setosa
0.118644,0.541667,5.1,0.5,Iris-setosa
0.152542,0.583333,4.8,0.2,Iris-setosa
0.101695,0.416667,5,0.2,Iris-setosa
0.101695,0.583333,5,0.4,Iris-setosa
0.084746,0.625,5.2,0.2,Iris-setosa
0.067797,0.583333,5.2,0.2,Iris-setosa
0.101695,0.5,4.7,0.2,Iris-setosa
0.101695,0.458333,4.8,0.2,Iris-setosa
0.084746,0.583333,5.4,0.4,Iris-setosa
0.084746,0.875,5.2,0.1,Iris-setosa
0.067797,0.916667,5.5,0.2,Iris-setosa
0.084746,0.458333,4.9,0.1,Iris-setosa
0.033898,0.5,5,0.2,Iris-setosa
0.050847,0.625,5.5,0.2,Iris-setosa
0.084746,0.458333,4.9,0.1,Iris-setosa
0.050847,0.416667,4.4,0.2,Iris-setosa
0.084746,0.583333,5.1,0.2,Iris-setosa
0.050847,0.625,5,0.3,Iris-setosa
