@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3'

@attribute 'filtered-0-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-filtered-0-unfiltered-petal width in cm' {'\'(-inf-0.15]\'','\'(0.15-0.25]\'','\'(0.25-0.55]\'','\'(0.55-1.25]\'','\'(1.25-1.35]\'','\'(1.35-1.55]\'','\'(1.55-1.85]\'','\'(1.85-2.05]\'','\'(2.05-2.25]\'','\'(2.25-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.222222,'\'(0.15-0.25]\'',1.028611,1.4,Iris-setosa
0.166667,'\'(0.15-0.25]\'',-0.12454,1.4,Iris-setosa
0.111111,'\'(0.15-0.25]\'',0.33672,1.3,Iris-setosa
0.083333,'\'(0.15-0.25]\'',0.10609,1.5,Iris-setosa
0.194444,'\'(0.15-0.25]\'',1.259242,1.4,Iris-setosa
0.305556,'\'(0.25-0.55]\'',1.951133,1.7,Iris-setosa
0.083333,'\'(0.25-0.55]\'',0.797981,1.4,Iris-setosa
0.194444,'\'(0.15-0.25]\'',0.797981,1.5,Iris-setosa
0.027778,'\'(0.15-0.25]\'',-0.355171,1.4,Iris-setosa
0.166667,'\'(-inf-0.15]\'',0.10609,1.5,Iris-setosa
0.305556,'\'(0.15-0.25]\'',1.489872,1.5,Iris-setosa
0.138889,'\'(0.15-0.25]\'',0.797981,1.6,Iris-setosa
0.138889,'\'(-inf-0.15]\'',-0.12454,1.4,Iris-setosa
0,'\'(-inf-0.15]\'',-0.12454,1.1,Iris-setosa
0.416667,'\'(0.15-0.25]\'',2.181763,1.2,Iris-setosa
0.388889,'\'(0.25-0.55]\'',3.104284,1.5,Iris-setosa
0.305556,'\'(0.25-0.55]\'',1.951133,1.3,Iris-setosa
0.222222,'\'(0.25-0.55]\'',1.028611,1.4,Iris-setosa
0.388889,'\'(0.25-0.55]\'',1.720502,1.7,Iris-setosa
0.222222,'\'(0.25-0.55]\'',1.720502,1.5,Iris-setosa
0.305556,'\'(0.15-0.25]\'',0.797981,1.7,Iris-setosa
0.222222,'\'(0.25-0.55]\'',1.489872,1.5,Iris-setosa
0.083333,'\'(0.15-0.25]\'',1.259242,1,Iris-setosa
0.222222,'\'(0.25-0.55]\'',0.567351,1.7,Iris-setosa
0.138889,'\'(0.15-0.25]\'',0.797981,1.9,Iris-setosa
