@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R4'

@attribute 'filtered-0-unfiltered-petal width in cm' {'\'(-inf-0.34]\'','\'(0.34-0.58]\'','\'(0.58-0.82]\'','\'(0.82-1.06]\'','\'(1.06-1.3]\'','\'(1.3-1.54]\'','\'(1.54-1.78]\'','\'(1.78-2.02]\'','\'(2.02-2.26]\'','\'(2.26-inf)\''}
@attribute 'unfiltered-filtered-0-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(-inf-0.34]\'',0.222222,3.5,1.4,Iris-setosa
'\'(-inf-0.34]\'',0.166667,3,1.4,Iris-setosa
'\'(-inf-0.34]\'',0.111111,3.2,1.3,Iris-setosa
'\'(-inf-0.34]\'',0.083333,3.1,1.5,Iris-setosa
'\'(-inf-0.34]\'',0.194444,3.6,1.4,Iris-setosa
'\'(0.34-0.58]\'',0.305556,3.9,1.7,Iris-setosa
'\'(-inf-0.34]\'',0.083333,3.4,1.4,Iris-setosa
'\'(-inf-0.34]\'',0.194444,3.4,1.5,Iris-setosa
'\'(-inf-0.34]\'',0.027778,2.9,1.4,Iris-setosa
'\'(-inf-0.34]\'',0.166667,3.1,1.5,Iris-setosa
'\'(-inf-0.34]\'',0.305556,3.7,1.5,Iris-setosa
'\'(-inf-0.34]\'',0.138889,3.4,1.6,Iris-setosa
'\'(-inf-0.34]\'',0.138889,3,1.4,Iris-setosa
'\'(-inf-0.34]\'',0,3,1.1,Iris-setosa
'\'(-inf-0.34]\'',0.416667,4,1.2,Iris-setosa
'\'(0.34-0.58]\'',0.388889,4.4,1.5,Iris-setosa
'\'(0.34-0.58]\'',0.305556,3.9,1.3,Iris-setosa
'\'(-inf-0.34]\'',0.222222,3.5,1.4,Iris-setosa
'\'(-inf-0.34]\'',0.388889,3.8,1.7,Iris-setosa
'\'(-inf-0.34]\'',0.222222,3.8,1.5,Iris-setosa
'\'(-inf-0.34]\'',0.305556,3.4,1.7,Iris-setosa
'\'(0.34-0.58]\'',0.222222,3.7,1.5,Iris-setosa
'\'(-inf-0.34]\'',0.083333,3.6,1,Iris-setosa
'\'(0.34-0.58]\'',0.222222,3.3,1.7,Iris-setosa
'\'(-inf-0.34]\'',0.138889,3.4,1.9,Iris-setosa
'\'(-inf-0.34]\'',0.194444,3,1.6,Iris-setosa
'\'(0.34-0.58]\'',0.194444,3.4,1.6,Iris-setosa
'\'(-inf-0.34]\'',0.25,3.5,1.5,Iris-setosa
'\'(-inf-0.34]\'',0.25,3.4,1.4,Iris-setosa
'\'(-inf-0.34]\'',0.111111,3.2,1.6,Iris-setosa
'\'(-inf-0.34]\'',0.138889,3.1,1.6,Iris-setosa
