@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1'

@attribute 'filtered-0-filtered-0-unfiltered-petal width in cm' {'\'(-inf-0.020833]\'','\'(0.020833-0.0625]\'','\'(0.0625-0.1875]\'','\'(0.1875-0.479167]\'','\'(0.479167-0.520833]\'','\'(0.520833-0.604167]\'','\'(0.604167-0.729167]\'','\'(0.729167-0.8125]\'','\'(0.8125-0.895833]\'','\'(0.895833-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.020833-0.0625]\'',1.028611,5.1,1.4,Iris-setosa
'\'(0.020833-0.0625]\'',-0.12454,4.9,1.4,Iris-setosa
'\'(0.020833-0.0625]\'',0.33672,4.7,1.3,Iris-setosa
'\'(0.020833-0.0625]\'',0.10609,4.6,1.5,Iris-setosa
'\'(0.020833-0.0625]\'',1.259242,5,1.4,Iris-setosa
'\'(0.0625-0.1875]\'',1.951133,5.4,1.7,Iris-setosa
'\'(0.0625-0.1875]\'',0.797981,4.6,1.4,Iris-setosa
'\'(0.020833-0.0625]\'',0.797981,5,1.5,Iris-setosa
'\'(0.020833-0.0625]\'',-0.355171,4.4,1.4,Iris-setosa
'\'(-inf-0.020833]\'',0.10609,4.9,1.5,Iris-setosa
'\'(0.020833-0.0625]\'',1.489872,5.4,1.5,Iris-setosa
'\'(0.020833-0.0625]\'',0.797981,4.8,1.6,Iris-setosa
'\'(-inf-0.020833]\'',-0.12454,4.8,1.4,Iris-setosa
'\'(-inf-0.020833]\'',-0.12454,4.3,1.1,Iris-setosa
'\'(0.020833-0.0625]\'',2.181763,5.8,1.2,Iris-setosa
'\'(0.0625-0.1875]\'',3.104284,5.7,1.5,Iris-setosa
'\'(0.0625-0.1875]\'',1.951133,5.4,1.3,Iris-setosa
'\'(0.0625-0.1875]\'',1.028611,5.1,1.4,Iris-setosa
'\'(0.0625-0.1875]\'',1.720502,5.7,1.7,Iris-setosa
'\'(0.0625-0.1875]\'',1.720502,5.1,1.5,Iris-setosa
'\'(0.020833-0.0625]\'',0.797981,5.4,1.7,Iris-setosa
'\'(0.0625-0.1875]\'',1.489872,5.1,1.5,Iris-setosa
'\'(0.020833-0.0625]\'',1.259242,4.6,1,Iris-setosa
'\'(0.0625-0.1875]\'',0.567351,5.1,1.7,Iris-setosa
'\'(0.020833-0.0625]\'',0.797981,4.8,1.9,Iris-setosa
'\'(0.020833-0.0625]\'',-0.12454,5,1.6,Iris-setosa
'\'(0.0625-0.1875]\'',0.797981,5,1.6,Iris-setosa
'\'(0.020833-0.0625]\'',1.028611,5.2,1.5,Iris-setosa
'\'(0.020833-0.0625]\'',0.797981,5.2,1.4,Iris-setosa
'\'(0.020833-0.0625]\'',0.33672,4.7,1.6,Iris-setosa
'\'(0.020833-0.0625]\'',0.10609,4.8,1.6,Iris-setosa
'\'(0.0625-0.1875]\'',0.797981,5.4,1.5,Iris-setosa
'\'(-inf-0.020833]\'',2.412393,5.2,1.5,Iris-setosa
'\'(0.020833-0.0625]\'',2.643024,5.5,1.4,Iris-setosa
'\'(-inf-0.020833]\'',0.10609,4.9,1.5,Iris-setosa
'\'(0.020833-0.0625]\'',0.33672,5,1.2,Iris-setosa
'\'(0.020833-0.0625]\'',1.028611,5.5,1.3,Iris-setosa
'\'(-inf-0.020833]\'',0.10609,4.9,1.5,Iris-setosa
'\'(0.020833-0.0625]\'',-0.12454,4.4,1.3,Iris-setosa
'\'(0.020833-0.0625]\'',0.797981,5.1,1.5,Iris-setosa
'\'(0.0625-0.1875]\'',1.028611,5,1.3,Iris-setosa
'\'(0.0625-0.1875]\'',-1.738953,4.5,1.3,Iris-setosa
'\'(0.020833-0.0625]\'',0.33672,4.4,1.3,Iris-setosa
'\'(0.1875-0.479167]\'',1.028611,5,1.6,Iris-setosa
'\'(0.0625-0.1875]\'',1.720502,5.1,1.9,Iris-setosa
'\'(0.0625-0.1875]\'',-0.12454,4.8,1.4,Iris-setosa
'\'(0.020833-0.0625]\'',1.720502,5.1,1.6,Iris-setosa
'\'(0.020833-0.0625]\'',0.33672,4.6,1.4,Iris-setosa
'\'(0.020833-0.0625]\'',1.489872,5.3,1.5,Iris-setosa
'\'(0.020833-0.0625]\'',0.567351,5,1.4,Iris-setosa
'\'(0.520833-0.604167]\'',0.33672,7,4.7,Iris-versicolor
'\'(0.520833-0.604167]\'',0.33672,6.4,4.5,Iris-versicolor
'\'(0.520833-0.604167]\'',0.10609,6.9,4.9,Iris-versicolor
'\'(0.479167-0.520833]\'',-1.738953,5.5,4,Iris-versicolor
'\'(0.520833-0.604167]\'',-0.585801,6.5,4.6,Iris-versicolor
'\'(0.479167-0.520833]\'',-0.585801,5.7,4.5,Iris-versicolor
'\'(0.604167-0.729167]\'',0.567351,6.3,4.7,Iris-versicolor
'\'(0.1875-0.479167]\'',-1.508322,4.9,3.3,Iris-versicolor
'\'(0.479167-0.520833]\'',-0.355171,6.6,4.6,Iris-versicolor
'\'(0.520833-0.604167]\'',-0.816431,5.2,3.9,Iris-versicolor
'\'(0.1875-0.479167]\'',-2.430844,5,3.5,Iris-versicolor
'\'(0.520833-0.604167]\'',-0.12454,5.9,4.2,Iris-versicolor
'\'(0.1875-0.479167]\'',-1.969583,6,4,Iris-versicolor
'\'(0.520833-0.604167]\'',-0.355171,6.1,4.7,Iris-versicolor
'\'(0.479167-0.520833]\'',-0.355171,5.6,3.6,Iris-versicolor
'\'(0.520833-0.604167]\'',0.10609,6.7,4.4,Iris-versicolor
'\'(0.520833-0.604167]\'',-0.12454,5.6,4.5,Iris-versicolor
'\'(0.1875-0.479167]\'',-0.816431,5.8,4.1,Iris-versicolor
'\'(0.520833-0.604167]\'',-1.969583,6.2,4.5,Iris-versicolor
'\'(0.1875-0.479167]\'',-1.277692,5.6,3.9,Iris-versicolor
'\'(0.604167-0.729167]\'',0.33672,5.9,4.8,Iris-versicolor
'\'(0.479167-0.520833]\'',-0.585801,6.1,4,Iris-versicolor
'\'(0.520833-0.604167]\'',-1.277692,6.3,4.9,Iris-versicolor
'\'(0.1875-0.479167]\'',-0.585801,6.1,4.7,Iris-versicolor
'\'(0.479167-0.520833]\'',-0.355171,6.4,4.3,Iris-versicolor
'\'(0.520833-0.604167]\'',-0.12454,6.6,4.4,Iris-versicolor
'\'(0.520833-0.604167]\'',-0.585801,6.8,4.8,Iris-versicolor
'\'(0.604167-0.729167]\'',-0.12454,6.7,5,Iris-versicolor
'\'(0.520833-0.604167]\'',-0.355171,6,4.5,Iris-versicolor
'\'(0.1875-0.479167]\'',-1.047062,5.7,3.5,Iris-versicolor
'\'(0.1875-0.479167]\'',-1.508322,5.5,3.8,Iris-versicolor
'\'(0.1875-0.479167]\'',-1.508322,5.5,3.7,Iris-versicolor
