@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' {'\'(-inf-0.34]\'','\'(0.34-0.58]\'','\'(0.58-0.82]\'','\'(0.82-1.06]\'','\'(1.06-1.3]\'','\'(1.3-1.54]\'','\'(1.54-1.78]\'','\'(1.78-2.02]\'','\'(2.02-2.26]\'','\'(2.26-inf)\''}
@attribute 'unfiltered-filtered-0-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-filtered-0-petal length in cm' {'\'(-inf-1.59]\'','\'(1.59-2.18]\'','\'(2.18-2.77]\'','\'(2.77-3.36]\'','\'(3.36-3.95]\'','\'(3.95-4.54]\'','\'(4.54-5.13]\'','\'(5.13-5.72]\'','\'(5.72-6.31]\'','\'(6.31-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(-inf-0.34]\'',-0.87971,'\'(-inf-1.59]\'',3.5,Iris-setosa
'\'(-inf-0.34]\'',-1.120076,'\'(-inf-1.59]\'',3,Iris-setosa
'\'(-inf-0.34]\'',-1.360443,'\'(-inf-1.59]\'',3.2,Iris-setosa
'\'(-inf-0.34]\'',-1.480626,'\'(-inf-1.59]\'',3.1,Iris-setosa
'\'(-inf-0.34]\'',-0.999893,'\'(-inf-1.59]\'',3.6,Iris-setosa
'\'(0.34-0.58]\'',-0.519159,'\'(1.59-2.18]\'',3.9,Iris-setosa
'\'(-inf-0.34]\'',-1.480626,'\'(-inf-1.59]\'',3.4,Iris-setosa
'\'(-inf-0.34]\'',-0.999893,'\'(-inf-1.59]\'',3.4,Iris-setosa
'\'(-inf-0.34]\'',-1.720993,'\'(-inf-1.59]\'',2.9,Iris-setosa
'\'(-inf-0.34]\'',-1.120076,'\'(-inf-1.59]\'',3.1,Iris-setosa
'\'(-inf-0.34]\'',-0.519159,'\'(-inf-1.59]\'',3.7,Iris-setosa
'\'(-inf-0.34]\'',-1.24026,'\'(1.59-2.18]\'',3.4,Iris-setosa
'\'(-inf-0.34]\'',-1.24026,'\'(-inf-1.59]\'',3,Iris-setosa
'\'(-inf-0.34]\'',-1.841177,'\'(-inf-1.59]\'',3,Iris-setosa
'\'(-inf-0.34]\'',-0.038426,'\'(-inf-1.59]\'',4,Iris-setosa
'\'(0.34-0.58]\'',-0.158609,'\'(-inf-1.59]\'',4.4,Iris-setosa
'\'(0.34-0.58]\'',-0.519159,'\'(-inf-1.59]\'',3.9,Iris-setosa
'\'(-inf-0.34]\'',-0.87971,'\'(-inf-1.59]\'',3.5,Iris-setosa
'\'(-inf-0.34]\'',-0.158609,'\'(1.59-2.18]\'',3.8,Iris-setosa
'\'(-inf-0.34]\'',-0.87971,'\'(-inf-1.59]\'',3.8,Iris-setosa
'\'(-inf-0.34]\'',-0.519159,'\'(1.59-2.18]\'',3.4,Iris-setosa
'\'(0.34-0.58]\'',-0.87971,'\'(-inf-1.59]\'',3.7,Iris-setosa
'\'(-inf-0.34]\'',-1.480626,'\'(-inf-1.59]\'',3.6,Iris-setosa
'\'(0.34-0.58]\'',-0.87971,'\'(1.59-2.18]\'',3.3,Iris-setosa
'\'(-inf-0.34]\'',-1.24026,'\'(1.59-2.18]\'',3.4,Iris-setosa
'\'(-inf-0.34]\'',-0.999893,'\'(1.59-2.18]\'',3,Iris-setosa
'\'(0.34-0.58]\'',-0.999893,'\'(1.59-2.18]\'',3.4,Iris-setosa
'\'(-inf-0.34]\'',-0.759526,'\'(-inf-1.59]\'',3.5,Iris-setosa
'\'(-inf-0.34]\'',-0.759526,'\'(-inf-1.59]\'',3.4,Iris-setosa
'\'(-inf-0.34]\'',-1.360443,'\'(1.59-2.18]\'',3.2,Iris-setosa
'\'(-inf-0.34]\'',-1.24026,'\'(1.59-2.18]\'',3.1,Iris-setosa
'\'(0.34-0.58]\'',-0.519159,'\'(-inf-1.59]\'',3.4,Iris-setosa
'\'(-inf-0.34]\'',-0.759526,'\'(-inf-1.59]\'',4.1,Iris-setosa
'\'(-inf-0.34]\'',-0.398976,'\'(-inf-1.59]\'',4.2,Iris-setosa
'\'(-inf-0.34]\'',-1.120076,'\'(-inf-1.59]\'',3.1,Iris-setosa
'\'(-inf-0.34]\'',-0.999893,'\'(-inf-1.59]\'',3.2,Iris-setosa
'\'(-inf-0.34]\'',-0.398976,'\'(-inf-1.59]\'',3.5,Iris-setosa
'\'(-inf-0.34]\'',-1.120076,'\'(-inf-1.59]\'',3.1,Iris-setosa
'\'(-inf-0.34]\'',-1.720993,'\'(-inf-1.59]\'',3,Iris-setosa
'\'(-inf-0.34]\'',-0.87971,'\'(-inf-1.59]\'',3.4,Iris-setosa
'\'(-inf-0.34]\'',-0.999893,'\'(-inf-1.59]\'',3.5,Iris-setosa
'\'(-inf-0.34]\'',-1.60081,'\'(-inf-1.59]\'',2.3,Iris-setosa
'\'(-inf-0.34]\'',-1.720993,'\'(-inf-1.59]\'',3.2,Iris-setosa
'\'(0.58-0.82]\'',-0.999893,'\'(1.59-2.18]\'',3.5,Iris-setosa
'\'(0.34-0.58]\'',-0.87971,'\'(1.59-2.18]\'',3.8,Iris-setosa
'\'(-inf-0.34]\'',-1.24026,'\'(-inf-1.59]\'',3,Iris-setosa
'\'(-inf-0.34]\'',-0.87971,'\'(1.59-2.18]\'',3.8,Iris-setosa
'\'(-inf-0.34]\'',-1.480626,'\'(-inf-1.59]\'',3.2,Iris-setosa
'\'(-inf-0.34]\'',-0.639343,'\'(-inf-1.59]\'',3.7,Iris-setosa
'\'(-inf-0.34]\'',-0.999893,'\'(-inf-1.59]\'',3.3,Iris-setosa
'\'(1.3-1.54]\'',1.403775,'\'(4.54-5.13]\'',3.2,Iris-versicolor
'\'(1.3-1.54]\'',0.682674,'\'(3.95-4.54]\'',3.2,Iris-versicolor
'\'(1.3-1.54]\'',1.283591,'\'(4.54-5.13]\'',3.1,Iris-versicolor
'\'(1.06-1.3]\'',-0.398976,'\'(3.95-4.54]\'',2.3,Iris-versicolor
'\'(1.3-1.54]\'',0.802858,'\'(4.54-5.13]\'',2.8,Iris-versicolor
'\'(1.06-1.3]\'',-0.158609,'\'(3.95-4.54]\'',2.8,Iris-versicolor
'\'(1.54-1.78]\'',0.562491,'\'(4.54-5.13]\'',3.3,Iris-versicolor
'\'(0.82-1.06]\'',-1.120076,'\'(2.77-3.36]\'',2.4,Iris-versicolor
'\'(1.06-1.3]\'',0.923041,'\'(4.54-5.13]\'',2.9,Iris-versicolor
'\'(1.3-1.54]\'',-0.759526,'\'(3.36-3.95]\'',2.7,Iris-versicolor
'\'(0.82-1.06]\'',-0.999893,'\'(3.36-3.95]\'',2,Iris-versicolor
'\'(1.3-1.54]\'',0.081757,'\'(3.95-4.54]\'',3,Iris-versicolor
'\'(0.82-1.06]\'',0.201941,'\'(3.95-4.54]\'',2.2,Iris-versicolor
'\'(1.3-1.54]\'',0.322124,'\'(4.54-5.13]\'',2.9,Iris-versicolor
