@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R1'

@attribute 'filtered-0-filtered-0-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' {'\'(-inf-2.24]\'','\'(2.24-2.48]\'','\'(2.48-2.72]\'','\'(2.72-2.96]\'','\'(2.96-3.2]\'','\'(3.2-3.44]\'','\'(3.44-3.68]\'','\'(3.68-3.92]\'','\'(3.92-4.16]\'','\'(4.16-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-1.308593,'\'(3.44-3.68]\'',5.1,1.4,Iris-setosa
-1.308593,'\'(2.96-3.2]\'',4.9,1.4,Iris-setosa
-1.308593,'\'(2.96-3.2]\'',4.7,1.3,Iris-setosa
-1.308593,'\'(2.96-3.2]\'',4.6,1.5,Iris-setosa
-1.308593,'\'(3.44-3.68]\'',5,1.4,Iris-setosa
-1.046525,'\'(3.68-3.92]\'',5.4,1.7,Iris-setosa
-1.177559,'\'(3.2-3.44]\'',4.6,1.4,Iris-setosa
-1.308593,'\'(3.2-3.44]\'',5,1.5,Iris-setosa
-1.308593,'\'(2.72-2.96]\'',4.4,1.4,Iris-setosa
-1.439627,'\'(2.96-3.2]\'',4.9,1.5,Iris-setosa
-1.308593,'\'(3.68-3.92]\'',5.4,1.5,Iris-setosa
-1.308593,'\'(3.2-3.44]\'',4.8,1.6,Iris-setosa
-1.439627,'\'(2.96-3.2]\'',4.8,1.4,Iris-setosa
-1.439627,'\'(2.96-3.2]\'',4.3,1.1,Iris-setosa
-1.308593,'\'(3.92-4.16]\'',5.8,1.2,Iris-setosa
-1.046525,'\'(4.16-inf)\'',5.7,1.5,Iris-setosa
-1.046525,'\'(3.68-3.92]\'',5.4,1.3,Iris-setosa
-1.177559,'\'(3.44-3.68]\'',5.1,1.4,Iris-setosa
-1.177559,'\'(3.68-3.92]\'',5.7,1.7,Iris-setosa
-1.177559,'\'(3.68-3.92]\'',5.1,1.5,Iris-setosa
-1.308593,'\'(3.2-3.44]\'',5.4,1.7,Iris-setosa
-1.046525,'\'(3.68-3.92]\'',5.1,1.5,Iris-setosa
-1.308593,'\'(3.44-3.68]\'',4.6,1,Iris-setosa
-0.915491,'\'(3.2-3.44]\'',5.1,1.7,Iris-setosa
-1.308593,'\'(3.2-3.44]\'',4.8,1.9,Iris-setosa
-1.308593,'\'(2.96-3.2]\'',5,1.6,Iris-setosa
-1.046525,'\'(3.2-3.44]\'',5,1.6,Iris-setosa
-1.308593,'\'(3.44-3.68]\'',5.2,1.5,Iris-setosa
-1.308593,'\'(3.2-3.44]\'',5.2,1.4,Iris-setosa
-1.308593,'\'(2.96-3.2]\'',4.7,1.6,Iris-setosa
-1.308593,'\'(2.96-3.2]\'',4.8,1.6,Iris-setosa
