@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1'

@attribute 'filtered-0-filtered-0-unfiltered-sepal length in cm' {'\'(-inf--1.408516]\'','\'(-1.408516--0.975856]\'','\'(-0.975856--0.543196]\'','\'(-0.543196--0.110536]\'','\'(-0.110536-0.322124]\'','\'(0.322124-0.754784]\'','\'(0.754784-1.187444]\'','\'(1.187444-1.620105]\'','\'(1.620105-2.052765]\'','\'(2.052765-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-petal length in cm' {'\'(-inf-1.59]\'','\'(1.59-2.18]\'','\'(2.18-2.77]\'','\'(2.77-3.36]\'','\'(3.36-3.95]\'','\'(3.95-4.54]\'','\'(4.54-5.13]\'','\'(5.13-5.72]\'','\'(5.72-6.31]\'','\'(6.31-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(-0.975856--0.543196]\'','\'(-inf-1.59]\'',3.5,0.2,Iris-setosa
'\'(-1.408516--0.975856]\'','\'(-inf-1.59]\'',3,0.2,Iris-setosa
'\'(-1.408516--0.975856]\'','\'(-inf-1.59]\'',3.2,0.2,Iris-setosa
'\'(-inf--1.408516]\'','\'(-inf-1.59]\'',3.1,0.2,Iris-setosa
'\'(-1.408516--0.975856]\'','\'(-inf-1.59]\'',3.6,0.2,Iris-setosa
'\'(-0.543196--0.110536]\'','\'(1.59-2.18]\'',3.9,0.4,Iris-setosa
'\'(-inf--1.408516]\'','\'(-inf-1.59]\'',3.4,0.3,Iris-setosa
'\'(-1.408516--0.975856]\'','\'(-inf-1.59]\'',3.4,0.2,Iris-setosa
'\'(-inf--1.408516]\'','\'(-inf-1.59]\'',2.9,0.2,Iris-setosa
'\'(-1.408516--0.975856]\'','\'(-inf-1.59]\'',3.1,0.1,Iris-setosa
'\'(-0.543196--0.110536]\'','\'(-inf-1.59]\'',3.7,0.2,Iris-setosa
'\'(-1.408516--0.975856]\'','\'(1.59-2.18]\'',3.4,0.2,Iris-setosa
'\'(-1.408516--0.975856]\'','\'(-inf-1.59]\'',3,0.1,Iris-setosa
'\'(-inf--1.408516]\'','\'(-inf-1.59]\'',3,0.1,Iris-setosa
'\'(-0.110536-0.322124]\'','\'(-inf-1.59]\'',4,0.2,Iris-setosa
'\'(-0.543196--0.110536]\'','\'(-inf-1.59]\'',4.4,0.4,Iris-setosa
'\'(-0.543196--0.110536]\'','\'(-inf-1.59]\'',3.9,0.4,Iris-setosa
'\'(-0.975856--0.543196]\'','\'(-inf-1.59]\'',3.5,0.3,Iris-setosa
'\'(-0.543196--0.110536]\'','\'(1.59-2.18]\'',3.8,0.3,Iris-setosa
'\'(-0.975856--0.543196]\'','\'(-inf-1.59]\'',3.8,0.3,Iris-setosa
'\'(-0.543196--0.110536]\'','\'(1.59-2.18]\'',3.4,0.2,Iris-setosa
'\'(-0.975856--0.543196]\'','\'(-inf-1.59]\'',3.7,0.4,Iris-setosa
'\'(-inf--1.408516]\'','\'(-inf-1.59]\'',3.6,0.2,Iris-setosa
'\'(-0.975856--0.543196]\'','\'(1.59-2.18]\'',3.3,0.5,Iris-setosa
'\'(-1.408516--0.975856]\'','\'(1.59-2.18]\'',3.4,0.2,Iris-setosa
'\'(-1.408516--0.975856]\'','\'(1.59-2.18]\'',3,0.2,Iris-setosa
'\'(-1.408516--0.975856]\'','\'(1.59-2.18]\'',3.4,0.4,Iris-setosa
'\'(-0.975856--0.543196]\'','\'(-inf-1.59]\'',3.5,0.2,Iris-setosa
'\'(-0.975856--0.543196]\'','\'(-inf-1.59]\'',3.4,0.2,Iris-setosa
'\'(-1.408516--0.975856]\'','\'(1.59-2.18]\'',3.2,0.2,Iris-setosa
'\'(-1.408516--0.975856]\'','\'(1.59-2.18]\'',3.1,0.2,Iris-setosa
'\'(-0.543196--0.110536]\'','\'(-inf-1.59]\'',3.4,0.4,Iris-setosa
'\'(-0.975856--0.543196]\'','\'(-inf-1.59]\'',4.1,0.1,Iris-setosa
'\'(-0.543196--0.110536]\'','\'(-inf-1.59]\'',4.2,0.2,Iris-setosa
'\'(-1.408516--0.975856]\'','\'(-inf-1.59]\'',3.1,0.1,Iris-setosa
'\'(-1.408516--0.975856]\'','\'(-inf-1.59]\'',3.2,0.2,Iris-setosa
'\'(-0.543196--0.110536]\'','\'(-inf-1.59]\'',3.5,0.2,Iris-setosa
'\'(-1.408516--0.975856]\'','\'(-inf-1.59]\'',3.1,0.1,Iris-setosa
'\'(-inf--1.408516]\'','\'(-inf-1.59]\'',3,0.2,Iris-setosa
'\'(-0.975856--0.543196]\'','\'(-inf-1.59]\'',3.4,0.2,Iris-setosa
'\'(-1.408516--0.975856]\'','\'(-inf-1.59]\'',3.5,0.3,Iris-setosa
'\'(-inf--1.408516]\'','\'(-inf-1.59]\'',2.3,0.3,Iris-setosa
'\'(-inf--1.408516]\'','\'(-inf-1.59]\'',3.2,0.2,Iris-setosa
'\'(-1.408516--0.975856]\'','\'(1.59-2.18]\'',3.5,0.6,Iris-setosa
'\'(-0.975856--0.543196]\'','\'(1.59-2.18]\'',3.8,0.4,Iris-setosa
'\'(-1.408516--0.975856]\'','\'(-inf-1.59]\'',3,0.3,Iris-setosa
'\'(-0.975856--0.543196]\'','\'(1.59-2.18]\'',3.8,0.2,Iris-setosa
'\'(-inf--1.408516]\'','\'(-inf-1.59]\'',3.2,0.2,Iris-setosa
'\'(-0.975856--0.543196]\'','\'(-inf-1.59]\'',3.7,0.2,Iris-setosa
'\'(-1.408516--0.975856]\'','\'(-inf-1.59]\'',3.3,0.2,Iris-setosa
'\'(1.187444-1.620105]\'','\'(4.54-5.13]\'',3.2,1.4,Iris-versicolor
'\'(0.322124-0.754784]\'','\'(3.95-4.54]\'',3.2,1.5,Iris-versicolor
'\'(1.187444-1.620105]\'','\'(4.54-5.13]\'',3.1,1.5,Iris-versicolor
'\'(-0.543196--0.110536]\'','\'(3.95-4.54]\'',2.3,1.3,Iris-versicolor
'\'(0.754784-1.187444]\'','\'(4.54-5.13]\'',2.8,1.5,Iris-versicolor
'\'(-0.543196--0.110536]\'','\'(3.95-4.54]\'',2.8,1.3,Iris-versicolor
'\'(0.322124-0.754784]\'','\'(4.54-5.13]\'',3.3,1.6,Iris-versicolor
'\'(-1.408516--0.975856]\'','\'(2.77-3.36]\'',2.4,1,Iris-versicolor
'\'(0.754784-1.187444]\'','\'(4.54-5.13]\'',2.9,1.3,Iris-versicolor
'\'(-0.975856--0.543196]\'','\'(3.36-3.95]\'',2.7,1.4,Iris-versicolor
'\'(-1.408516--0.975856]\'','\'(3.36-3.95]\'',2,1,Iris-versicolor
'\'(-0.110536-0.322124]\'','\'(3.95-4.54]\'',3,1.5,Iris-versicolor
'\'(-0.110536-0.322124]\'','\'(3.95-4.54]\'',2.2,1,Iris-versicolor
'\'(-0.110536-0.322124]\'','\'(4.54-5.13]\'',2.9,1.4,Iris-versicolor
'\'(-0.543196--0.110536]\'','\'(3.36-3.95]\'',2.9,1.3,Iris-versicolor
'\'(0.754784-1.187444]\'','\'(3.95-4.54]\'',3.1,1.4,Iris-versicolor
'\'(-0.543196--0.110536]\'','\'(3.95-4.54]\'',3,1.5,Iris-versicolor
'\'(-0.110536-0.322124]\'','\'(3.95-4.54]\'',2.7,1,Iris-versicolor
'\'(0.322124-0.754784]\'','\'(3.95-4.54]\'',2.2,1.5,Iris-versicolor
'\'(-0.543196--0.110536]\'','\'(3.36-3.95]\'',2.5,1.1,Iris-versicolor
'\'(-0.110536-0.322124]\'','\'(4.54-5.13]\'',3.2,1.8,Iris-versicolor
'\'(-0.110536-0.322124]\'','\'(3.95-4.54]\'',2.8,1.3,Iris-versicolor
'\'(0.322124-0.754784]\'','\'(4.54-5.13]\'',2.5,1.5,Iris-versicolor
'\'(-0.110536-0.322124]\'','\'(4.54-5.13]\'',2.8,1.2,Iris-versicolor
'\'(0.322124-0.754784]\'','\'(3.95-4.54]\'',2.9,1.3,Iris-versicolor
'\'(0.754784-1.187444]\'','\'(3.95-4.54]\'',3,1.4,Iris-versicolor
