@relation iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-1.308593,1.028611,5.1,1.4,Iris-setosa
-1.308593,-0.12454,4.9,1.4,Iris-setosa
-1.308593,0.33672,4.7,1.3,Iris-setosa
-1.308593,0.10609,4.6,1.5,Iris-setosa
-1.308593,1.259242,5,1.4,Iris-setosa
-1.046525,1.951133,5.4,1.7,Iris-setosa
-1.177559,0.797981,4.6,1.4,Iris-setosa
-1.308593,0.797981,5,1.5,Iris-setosa
-1.308593,-0.355171,4.4,1.4,Iris-setosa
-1.439627,0.10609,4.9,1.5,Iris-setosa
-1.308593,1.489872,5.4,1.5,Iris-setosa
-1.308593,0.797981,4.8,1.6,Iris-setosa
-1.439627,-0.12454,4.8,1.4,Iris-setosa
-1.439627,-0.12454,4.3,1.1,Iris-setosa
-1.308593,2.181763,5.8,1.2,Iris-setosa
-1.046525,3.104284,5.7,1.5,Iris-setosa
-1.046525,1.951133,5.4,1.3,Iris-setosa
-1.177559,1.028611,5.1,1.4,Iris-setosa
-1.177559,1.720502,5.7,1.7,Iris-setosa
-1.177559,1.720502,5.1,1.5,Iris-setosa
-1.308593,0.797981,5.4,1.7,Iris-setosa
-1.046525,1.489872,5.1,1.5,Iris-setosa
-1.308593,1.259242,4.6,1,Iris-setosa
-0.915491,0.567351,5.1,1.7,Iris-setosa
-1.308593,0.797981,4.8,1.9,Iris-setosa
-1.308593,-0.12454,5,1.6,Iris-setosa
-1.046525,0.797981,5,1.6,Iris-setosa
-1.308593,1.028611,5.2,1.5,Iris-setosa
-1.308593,0.797981,5.2,1.4,Iris-setosa
-1.308593,0.33672,4.7,1.6,Iris-setosa
-1.308593,0.10609,4.8,1.6,Iris-setosa
-1.046525,0.797981,5.4,1.5,Iris-setosa
-1.439627,2.412393,5.2,1.5,Iris-setosa
-1.308593,2.643024,5.5,1.4,Iris-setosa
-1.439627,0.10609,4.9,1.5,Iris-setosa
-1.308593,0.33672,5,1.2,Iris-setosa
-1.308593,1.028611,5.5,1.3,Iris-setosa
-1.439627,0.10609,4.9,1.5,Iris-setosa
-1.308593,-0.12454,4.4,1.3,Iris-setosa
-1.308593,0.797981,5.1,1.5,Iris-setosa
-1.177559,1.028611,5,1.3,Iris-setosa
-1.177559,-1.738953,4.5,1.3,Iris-setosa
-1.308593,0.33672,4.4,1.3,Iris-setosa
-0.784457,1.028611,5,1.6,Iris-setosa
-1.046525,1.720502,5.1,1.9,Iris-setosa
-1.177559,-0.12454,4.8,1.4,Iris-setosa
-1.308593,1.720502,5.1,1.6,Iris-setosa
-1.308593,0.33672,4.6,1.4,Iris-setosa
-1.308593,1.489872,5.3,1.5,Iris-setosa
-1.308593,0.567351,5,1.4,Iris-setosa
0.263815,0.33672,7,4.7,Iris-versicolor
0.394849,0.33672,6.4,4.5,Iris-versicolor
0.394849,0.10609,6.9,4.9,Iris-versicolor
0.132781,-1.738953,5.5,4,Iris-versicolor
0.394849,-0.585801,6.5,4.6,Iris-versicolor
0.132781,-0.585801,5.7,4.5,Iris-versicolor
0.525883,0.567351,6.3,4.7,Iris-versicolor
-0.260321,-1.508322,4.9,3.3,Iris-versicolor
0.132781,-0.355171,6.6,4.6,Iris-versicolor
0.263815,-0.816431,5.2,3.9,Iris-versicolor
-0.260321,-2.430844,5,3.5,Iris-versicolor
0.394849,-0.12454,5.9,4.2,Iris-versicolor
-0.260321,-1.969583,6,4,Iris-versicolor
0.263815,-0.355171,6.1,4.7,Iris-versicolor
0.132781,-0.355171,5.6,3.6,Iris-versicolor
0.263815,0.10609,6.7,4.4,Iris-versicolor
0.394849,-0.12454,5.6,4.5,Iris-versicolor
-0.260321,-0.816431,5.8,4.1,Iris-versicolor
0.394849,-1.969583,6.2,4.5,Iris-versicolor
-0.129287,-1.277692,5.6,3.9,Iris-versicolor
0.787951,0.33672,5.9,4.8,Iris-versicolor
0.132781,-0.585801,6.1,4,Iris-versicolor
0.394849,-1.277692,6.3,4.9,Iris-versicolor
0.001747,-0.585801,6.1,4.7,Iris-versicolor
0.132781,-0.355171,6.4,4.3,Iris-versicolor
