@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4'

@attribute 'filtered-0-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-sepal length in cm' {'\'(-inf-4.85]\'','\'(4.85-5.05]\'','\'(5.05-5.35]\'','\'(5.35-5.55]\'','\'(5.55-5.75]\'','\'(5.75-6.05]\'','\'(6.05-6.35]\'','\'(6.35-6.65]\'','\'(6.65-6.95]\'','\'(6.95-inf)\''}
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.041667,'\'(5.05-5.35]\'',3.5,1.4,Iris-setosa
0.041667,'\'(4.85-5.05]\'',3,1.4,Iris-setosa
0.041667,'\'(-inf-4.85]\'',3.2,1.3,Iris-setosa
0.041667,'\'(-inf-4.85]\'',3.1,1.5,Iris-setosa
0.041667,'\'(4.85-5.05]\'',3.6,1.4,Iris-setosa
0.125,'\'(5.35-5.55]\'',3.9,1.7,Iris-setosa
0.083333,'\'(-inf-4.85]\'',3.4,1.4,Iris-setosa
0.041667,'\'(4.85-5.05]\'',3.4,1.5,Iris-setosa
0.041667,'\'(-inf-4.85]\'',2.9,1.4,Iris-setosa
0,'\'(4.85-5.05]\'',3.1,1.5,Iris-setosa
0.041667,'\'(5.35-5.55]\'',3.7,1.5,Iris-setosa
0.041667,'\'(-inf-4.85]\'',3.4,1.6,Iris-setosa
0,'\'(-inf-4.85]\'',3,1.4,Iris-setosa
0,'\'(-inf-4.85]\'',3,1.1,Iris-setosa
0.041667,'\'(5.75-6.05]\'',4,1.2,Iris-setosa
0.125,'\'(5.55-5.75]\'',4.4,1.5,Iris-setosa
0.125,'\'(5.35-5.55]\'',3.9,1.3,Iris-setosa
0.083333,'\'(5.05-5.35]\'',3.5,1.4,Iris-setosa
0.083333,'\'(5.55-5.75]\'',3.8,1.7,Iris-setosa
0.083333,'\'(5.05-5.35]\'',3.8,1.5,Iris-setosa
0.041667,'\'(5.35-5.55]\'',3.4,1.7,Iris-setosa
0.125,'\'(5.05-5.35]\'',3.7,1.5,Iris-setosa
0.041667,'\'(-inf-4.85]\'',3.6,1,Iris-setosa
0.166667,'\'(5.05-5.35]\'',3.3,1.7,Iris-setosa
0.041667,'\'(-inf-4.85]\'',3.4,1.9,Iris-setosa
0.041667,'\'(4.85-5.05]\'',3,1.6,Iris-setosa
0.125,'\'(4.85-5.05]\'',3.4,1.6,Iris-setosa
0.041667,'\'(5.05-5.35]\'',3.5,1.5,Iris-setosa
0.041667,'\'(5.05-5.35]\'',3.4,1.4,Iris-setosa
0.041667,'\'(-inf-4.85]\'',3.2,1.6,Iris-setosa
0.041667,'\'(-inf-4.85]\'',3.1,1.6,Iris-setosa
0.125,'\'(5.35-5.55]\'',3.4,1.5,Iris-setosa
0,'\'(5.05-5.35]\'',4.1,1.5,Iris-setosa
0.041667,'\'(5.35-5.55]\'',4.2,1.4,Iris-setosa
0,'\'(4.85-5.05]\'',3.1,1.5,Iris-setosa
0.041667,'\'(4.85-5.05]\'',3.2,1.2,Iris-setosa
0.041667,'\'(5.35-5.55]\'',3.5,1.3,Iris-setosa
0,'\'(4.85-5.05]\'',3.1,1.5,Iris-setosa
0.041667,'\'(-inf-4.85]\'',3,1.3,Iris-setosa
0.041667,'\'(5.05-5.35]\'',3.4,1.5,Iris-setosa
0.083333,'\'(4.85-5.05]\'',3.5,1.3,Iris-setosa
0.083333,'\'(-inf-4.85]\'',2.3,1.3,Iris-setosa
0.041667,'\'(-inf-4.85]\'',3.2,1.3,Iris-setosa
0.208333,'\'(4.85-5.05]\'',3.5,1.6,Iris-setosa
0.125,'\'(5.05-5.35]\'',3.8,1.9,Iris-setosa
0.083333,'\'(-inf-4.85]\'',3,1.4,Iris-setosa
0.041667,'\'(5.05-5.35]\'',3.8,1.6,Iris-setosa
0.041667,'\'(-inf-4.85]\'',3.2,1.4,Iris-setosa
0.041667,'\'(5.05-5.35]\'',3.7,1.5,Iris-setosa
0.041667,'\'(4.85-5.05]\'',3.3,1.4,Iris-setosa
0.541667,'\'(6.95-inf)\'',3.2,4.7,Iris-versicolor
0.583333,'\'(6.35-6.65]\'',3.2,4.5,Iris-versicolor
0.583333,'\'(6.65-6.95]\'',3.1,4.9,Iris-versicolor
0.5,'\'(5.35-5.55]\'',2.3,4,Iris-versicolor
0.583333,'\'(6.35-6.65]\'',2.8,4.6,Iris-versicolor
0.5,'\'(5.55-5.75]\'',2.8,4.5,Iris-versicolor
0.625,'\'(6.05-6.35]\'',3.3,4.7,Iris-versicolor
0.375,'\'(4.85-5.05]\'',2.4,3.3,Iris-versicolor
0.5,'\'(6.35-6.65]\'',2.9,4.6,Iris-versicolor
0.541667,'\'(5.05-5.35]\'',2.7,3.9,Iris-versicolor
0.375,'\'(4.85-5.05]\'',2,3.5,Iris-versicolor
0.583333,'\'(5.75-6.05]\'',3,4.2,Iris-versicolor
