@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1'

@attribute 'filtered-0-filtered-0-unfiltered-petal width in cm' {'\'(-inf--1.125145]\'','\'(-1.125145--0.810664]\'','\'(-0.810664--0.496182]\'','\'(-0.496182--0.1817]\'','\'(-0.1817-0.132781]\'','\'(0.132781-0.447263]\'','\'(0.447263-0.761744]\'','\'(0.761744-1.076226]\'','\'(1.076226-1.390707]\'','\'(1.390707-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' {'\'(-inf-2.55]\'','\'(2.55-2.75]\'','\'(2.75-2.85]\'','\'(2.85-2.95]\'','\'(2.95-3.05]\'','\'(3.05-3.15]\'','\'(3.15-3.25]\'','\'(3.25-3.45]\'','\'(3.45-3.75]\'','\'(3.75-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(-inf--1.125145]\'','\'(3.45-3.75]\'',5.1,1.4,Iris-setosa
'\'(-inf--1.125145]\'','\'(2.95-3.05]\'',4.9,1.4,Iris-setosa
'\'(-inf--1.125145]\'','\'(3.15-3.25]\'',4.7,1.3,Iris-setosa
'\'(-inf--1.125145]\'','\'(3.05-3.15]\'',4.6,1.5,Iris-setosa
'\'(-inf--1.125145]\'','\'(3.45-3.75]\'',5,1.4,Iris-setosa
'\'(-1.125145--0.810664]\'','\'(3.75-inf)\'',5.4,1.7,Iris-setosa
'\'(-inf--1.125145]\'','\'(3.25-3.45]\'',4.6,1.4,Iris-setosa
'\'(-inf--1.125145]\'','\'(3.25-3.45]\'',5,1.5,Iris-setosa
'\'(-inf--1.125145]\'','\'(2.85-2.95]\'',4.4,1.4,Iris-setosa
'\'(-inf--1.125145]\'','\'(3.05-3.15]\'',4.9,1.5,Iris-setosa
'\'(-inf--1.125145]\'','\'(3.45-3.75]\'',5.4,1.5,Iris-setosa
'\'(-inf--1.125145]\'','\'(3.25-3.45]\'',4.8,1.6,Iris-setosa
'\'(-inf--1.125145]\'','\'(2.95-3.05]\'',4.8,1.4,Iris-setosa
'\'(-inf--1.125145]\'','\'(2.95-3.05]\'',4.3,1.1,Iris-setosa
'\'(-inf--1.125145]\'','\'(3.75-inf)\'',5.8,1.2,Iris-setosa
'\'(-1.125145--0.810664]\'','\'(3.75-inf)\'',5.7,1.5,Iris-setosa
'\'(-1.125145--0.810664]\'','\'(3.75-inf)\'',5.4,1.3,Iris-setosa
'\'(-inf--1.125145]\'','\'(3.45-3.75]\'',5.1,1.4,Iris-setosa
'\'(-inf--1.125145]\'','\'(3.75-inf)\'',5.7,1.7,Iris-setosa
'\'(-inf--1.125145]\'','\'(3.75-inf)\'',5.1,1.5,Iris-setosa
'\'(-inf--1.125145]\'','\'(3.25-3.45]\'',5.4,1.7,Iris-setosa
'\'(-1.125145--0.810664]\'','\'(3.45-3.75]\'',5.1,1.5,Iris-setosa
'\'(-inf--1.125145]\'','\'(3.45-3.75]\'',4.6,1,Iris-setosa
'\'(-1.125145--0.810664]\'','\'(3.25-3.45]\'',5.1,1.7,Iris-setosa
'\'(-inf--1.125145]\'','\'(3.25-3.45]\'',4.8,1.9,Iris-setosa
'\'(-inf--1.125145]\'','\'(2.95-3.05]\'',5,1.6,Iris-setosa
