@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R3'

@attribute 'filtered-0-unfiltered-unfiltered-petal length in cm' {'\'(-inf-1.59]\'','\'(1.59-2.18]\'','\'(2.18-2.77]\'','\'(2.77-3.36]\'','\'(3.36-3.95]\'','\'(3.95-4.54]\'','\'(4.54-5.13]\'','\'(5.13-5.72]\'','\'(5.72-6.31]\'','\'(6.31-inf)\''}
@attribute 'unfiltered-filtered-0-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(-inf-1.59]\'',1.028611,5.1,0.2,Iris-setosa
'\'(-inf-1.59]\'',-0.12454,4.9,0.2,Iris-setosa
'\'(-inf-1.59]\'',0.33672,4.7,0.2,Iris-setosa
'\'(-inf-1.59]\'',0.10609,4.6,0.2,Iris-setosa
'\'(-inf-1.59]\'',1.259242,5,0.2,Iris-setosa
'\'(1.59-2.18]\'',1.951133,5.4,0.4,Iris-setosa
'\'(-inf-1.59]\'',0.797981,4.6,0.3,Iris-setosa
'\'(-inf-1.59]\'',0.797981,5,0.2,Iris-setosa
'\'(-inf-1.59]\'',-0.355171,4.4,0.2,Iris-setosa
'\'(-inf-1.59]\'',0.10609,4.9,0.1,Iris-setosa
'\'(-inf-1.59]\'',1.489872,5.4,0.2,Iris-setosa
'\'(1.59-2.18]\'',0.797981,4.8,0.2,Iris-setosa
'\'(-inf-1.59]\'',-0.12454,4.8,0.1,Iris-setosa
'\'(-inf-1.59]\'',-0.12454,4.3,0.1,Iris-setosa
'\'(-inf-1.59]\'',2.181763,5.8,0.2,Iris-setosa
'\'(-inf-1.59]\'',3.104284,5.7,0.4,Iris-setosa
'\'(-inf-1.59]\'',1.951133,5.4,0.4,Iris-setosa
'\'(-inf-1.59]\'',1.028611,5.1,0.3,Iris-setosa
'\'(1.59-2.18]\'',1.720502,5.7,0.3,Iris-setosa
'\'(-inf-1.59]\'',1.720502,5.1,0.3,Iris-setosa
'\'(1.59-2.18]\'',0.797981,5.4,0.2,Iris-setosa
'\'(-inf-1.59]\'',1.489872,5.1,0.4,Iris-setosa
'\'(-inf-1.59]\'',1.259242,4.6,0.2,Iris-setosa
'\'(1.59-2.18]\'',0.567351,5.1,0.5,Iris-setosa
'\'(1.59-2.18]\'',0.797981,4.8,0.2,Iris-setosa
'\'(1.59-2.18]\'',-0.12454,5,0.2,Iris-setosa
'\'(1.59-2.18]\'',0.797981,5,0.4,Iris-setosa
'\'(-inf-1.59]\'',1.028611,5.2,0.2,Iris-setosa
'\'(-inf-1.59]\'',0.797981,5.2,0.2,Iris-setosa
'\'(1.59-2.18]\'',0.33672,4.7,0.2,Iris-setosa
'\'(1.59-2.18]\'',0.10609,4.8,0.2,Iris-setosa
'\'(-inf-1.59]\'',0.797981,5.4,0.4,Iris-setosa
'\'(-inf-1.59]\'',2.412393,5.2,0.1,Iris-setosa
'\'(-inf-1.59]\'',2.643024,5.5,0.2,Iris-setosa
'\'(-inf-1.59]\'',0.10609,4.9,0.1,Iris-setosa
'\'(-inf-1.59]\'',0.33672,5,0.2,Iris-setosa
'\'(-inf-1.59]\'',1.028611,5.5,0.2,Iris-setosa
'\'(-inf-1.59]\'',0.10609,4.9,0.1,Iris-setosa
'\'(-inf-1.59]\'',-0.12454,4.4,0.2,Iris-setosa
'\'(-inf-1.59]\'',0.797981,5.1,0.2,Iris-setosa
'\'(-inf-1.59]\'',1.028611,5,0.3,Iris-setosa
'\'(-inf-1.59]\'',-1.738953,4.5,0.3,Iris-setosa
'\'(-inf-1.59]\'',0.33672,4.4,0.2,Iris-setosa
'\'(1.59-2.18]\'',1.028611,5,0.6,Iris-setosa
'\'(1.59-2.18]\'',1.720502,5.1,0.4,Iris-setosa
'\'(-inf-1.59]\'',-0.12454,4.8,0.3,Iris-setosa
'\'(1.59-2.18]\'',1.720502,5.1,0.2,Iris-setosa
'\'(-inf-1.59]\'',0.33672,4.6,0.2,Iris-setosa
