@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R3'

@attribute 'filtered-0-unfiltered-unfiltered-sepal width in cm' {'\'(-inf-2.24]\'','\'(2.24-2.48]\'','\'(2.48-2.72]\'','\'(2.72-2.96]\'','\'(2.96-3.2]\'','\'(3.2-3.44]\'','\'(3.44-3.68]\'','\'(3.68-3.92]\'','\'(3.92-4.16]\'','\'(4.16-inf)\''}
@attribute 'unfiltered-filtered-0-filtered-0-petal width in cm' {'\'(-inf-0.020833]\'','\'(0.020833-0.0625]\'','\'(0.0625-0.1875]\'','\'(0.1875-0.479167]\'','\'(0.479167-0.520833]\'','\'(0.520833-0.604167]\'','\'(0.604167-0.729167]\'','\'(0.729167-0.8125]\'','\'(0.8125-0.895833]\'','\'(0.895833-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(3.44-3.68]\'','\'(0.020833-0.0625]\'',5.1,1.4,Iris-setosa
'\'(2.96-3.2]\'','\'(0.020833-0.0625]\'',4.9,1.4,Iris-setosa
'\'(2.96-3.2]\'','\'(0.020833-0.0625]\'',4.7,1.3,Iris-setosa
'\'(2.96-3.2]\'','\'(0.020833-0.0625]\'',4.6,1.5,Iris-setosa
'\'(3.44-3.68]\'','\'(0.020833-0.0625]\'',5,1.4,Iris-setosa
'\'(3.68-3.92]\'','\'(0.0625-0.1875]\'',5.4,1.7,Iris-setosa
'\'(3.2-3.44]\'','\'(0.0625-0.1875]\'',4.6,1.4,Iris-setosa
'\'(3.2-3.44]\'','\'(0.020833-0.0625]\'',5,1.5,Iris-setosa
'\'(2.72-2.96]\'','\'(0.020833-0.0625]\'',4.4,1.4,Iris-setosa
'\'(2.96-3.2]\'','\'(-inf-0.020833]\'',4.9,1.5,Iris-setosa
'\'(3.68-3.92]\'','\'(0.020833-0.0625]\'',5.4,1.5,Iris-setosa
'\'(3.2-3.44]\'','\'(0.020833-0.0625]\'',4.8,1.6,Iris-setosa
'\'(2.96-3.2]\'','\'(-inf-0.020833]\'',4.8,1.4,Iris-setosa
'\'(2.96-3.2]\'','\'(-inf-0.020833]\'',4.3,1.1,Iris-setosa
'\'(3.92-4.16]\'','\'(0.020833-0.0625]\'',5.8,1.2,Iris-setosa
'\'(4.16-inf)\'','\'(0.0625-0.1875]\'',5.7,1.5,Iris-setosa
'\'(3.68-3.92]\'','\'(0.0625-0.1875]\'',5.4,1.3,Iris-setosa
'\'(3.44-3.68]\'','\'(0.0625-0.1875]\'',5.1,1.4,Iris-setosa
'\'(3.68-3.92]\'','\'(0.0625-0.1875]\'',5.7,1.7,Iris-setosa
'\'(3.68-3.92]\'','\'(0.0625-0.1875]\'',5.1,1.5,Iris-setosa
'\'(3.2-3.44]\'','\'(0.020833-0.0625]\'',5.4,1.7,Iris-setosa
'\'(3.68-3.92]\'','\'(0.0625-0.1875]\'',5.1,1.5,Iris-setosa
'\'(3.44-3.68]\'','\'(0.020833-0.0625]\'',4.6,1,Iris-setosa
'\'(3.2-3.44]\'','\'(0.0625-0.1875]\'',5.1,1.7,Iris-setosa
'\'(3.2-3.44]\'','\'(0.020833-0.0625]\'',4.8,1.9,Iris-setosa
'\'(2.96-3.2]\'','\'(0.020833-0.0625]\'',5,1.6,Iris-setosa
'\'(3.2-3.44]\'','\'(0.0625-0.1875]\'',5,1.6,Iris-setosa
'\'(3.44-3.68]\'','\'(0.020833-0.0625]\'',5.2,1.5,Iris-setosa
'\'(3.2-3.44]\'','\'(0.020833-0.0625]\'',5.2,1.4,Iris-setosa
'\'(2.96-3.2]\'','\'(0.020833-0.0625]\'',4.7,1.6,Iris-setosa
'\'(2.96-3.2]\'','\'(0.020833-0.0625]\'',4.8,1.6,Iris-setosa
'\'(3.2-3.44]\'','\'(0.0625-0.1875]\'',5.4,1.5,Iris-setosa
'\'(3.92-4.16]\'','\'(-inf-0.020833]\'',5.2,1.5,Iris-setosa
'\'(4.16-inf)\'','\'(0.020833-0.0625]\'',5.5,1.4,Iris-setosa
'\'(2.96-3.2]\'','\'(-inf-0.020833]\'',4.9,1.5,Iris-setosa
'\'(2.96-3.2]\'','\'(0.020833-0.0625]\'',5,1.2,Iris-setosa
'\'(3.44-3.68]\'','\'(0.020833-0.0625]\'',5.5,1.3,Iris-setosa
'\'(2.96-3.2]\'','\'(-inf-0.020833]\'',4.9,1.5,Iris-setosa
'\'(2.96-3.2]\'','\'(0.020833-0.0625]\'',4.4,1.3,Iris-setosa
'\'(3.2-3.44]\'','\'(0.020833-0.0625]\'',5.1,1.5,Iris-setosa
'\'(3.44-3.68]\'','\'(0.0625-0.1875]\'',5,1.3,Iris-setosa
'\'(2.24-2.48]\'','\'(0.0625-0.1875]\'',4.5,1.3,Iris-setosa
'\'(2.96-3.2]\'','\'(0.020833-0.0625]\'',4.4,1.3,Iris-setosa
'\'(3.44-3.68]\'','\'(0.1875-0.479167]\'',5,1.6,Iris-setosa
'\'(3.68-3.92]\'','\'(0.0625-0.1875]\'',5.1,1.9,Iris-setosa
'\'(2.96-3.2]\'','\'(0.0625-0.1875]\'',4.8,1.4,Iris-setosa
'\'(3.68-3.92]\'','\'(0.020833-0.0625]\'',5.1,1.6,Iris-setosa
'\'(2.96-3.2]\'','\'(0.020833-0.0625]\'',4.6,1.4,Iris-setosa
'\'(3.68-3.92]\'','\'(0.020833-0.0625]\'',5.3,1.5,Iris-setosa
'\'(3.2-3.44]\'','\'(0.020833-0.0625]\'',5,1.4,Iris-setosa
'\'(2.96-3.2]\'','\'(0.520833-0.604167]\'',7,4.7,Iris-versicolor
'\'(2.96-3.2]\'','\'(0.520833-0.604167]\'',6.4,4.5,Iris-versicolor
'\'(2.96-3.2]\'','\'(0.520833-0.604167]\'',6.9,4.9,Iris-versicolor
'\'(2.24-2.48]\'','\'(0.479167-0.520833]\'',5.5,4,Iris-versicolor
'\'(2.72-2.96]\'','\'(0.520833-0.604167]\'',6.5,4.6,Iris-versicolor
'\'(2.72-2.96]\'','\'(0.479167-0.520833]\'',5.7,4.5,Iris-versicolor
'\'(3.2-3.44]\'','\'(0.604167-0.729167]\'',6.3,4.7,Iris-versicolor
'\'(2.24-2.48]\'','\'(0.1875-0.479167]\'',4.9,3.3,Iris-versicolor
'\'(2.72-2.96]\'','\'(0.479167-0.520833]\'',6.6,4.6,Iris-versicolor
'\'(2.48-2.72]\'','\'(0.520833-0.604167]\'',5.2,3.9,Iris-versicolor
'\'(-inf-2.24]\'','\'(0.1875-0.479167]\'',5,3.5,Iris-versicolor
