@relation 'iris missing(2yf5Wb0gF)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4'

@attribute 'filtered-0-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-petal length in cm' {'\'(-inf-1.59]\'','\'(1.59-2.18]\'','\'(2.18-2.77]\'','\'(2.77-3.36]\'','\'(3.36-3.95]\'','\'(3.95-4.54]\'','\'(4.54-5.13]\'','\'(5.13-5.72]\'','\'(5.72-6.31]\'','\'(6.31-inf)\''}
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-1.301767,'\'(-inf-1.59]\'',5.1,3.5,Iris-setosa
-1.301767,'\'(-inf-1.59]\'',4.9,3,Iris-setosa
-1.301767,'\'(-inf-1.59]\'',4.7,3.2,Iris-setosa
-1.301767,'\'(-inf-1.59]\'',4.6,3.1,Iris-setosa
-1.301767,'\'(-inf-1.59]\'',5,3.6,Iris-setosa
-1.039831,'\'(1.59-2.18]\'',5.4,3.9,Iris-setosa
-1.170799,'\'(-inf-1.59]\'',4.6,3.4,Iris-setosa
-1.301767,'\'(-inf-1.59]\'',5,3.4,Iris-setosa
-1.301767,'\'(-inf-1.59]\'',4.4,2.9,Iris-setosa
-1.432734,'\'(-inf-1.59]\'',4.9,3.1,Iris-setosa
-1.301767,'\'(-inf-1.59]\'',5.4,3.7,Iris-setosa
-1.301767,'\'(1.59-2.18]\'',4.8,3.4,Iris-setosa
-1.432734,'\'(-inf-1.59]\'',4.8,3,Iris-setosa
-1.432734,'\'(-inf-1.59]\'',4.3,3,Iris-setosa
-1.301767,'\'(-inf-1.59]\'',5.8,4,Iris-setosa
