@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R3'

@attribute 'filtered-0-unfiltered-petal length in cm' {'\'(-inf-1.59]\'','\'(1.59-2.18]\'','\'(2.18-2.77]\'','\'(2.77-3.36]\'','\'(3.36-3.95]\'','\'(3.95-4.54]\'','\'(4.54-5.13]\'','\'(5.13-5.72]\'','\'(5.72-6.31]\'','\'(6.31-inf)\''}
@attribute 'unfiltered-filtered-0-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(-inf-1.59]\'',-0.897674,3.5,0.2,Iris-setosa
'\'(-inf-1.59]\'',-1.1392,3,0.2,Iris-setosa
'\'(-inf-1.59]\'',-1.380727,3.2,0.2,Iris-setosa
'\'(-inf-1.59]\'',-1.50149,3.1,0.2,Iris-setosa
'\'(-inf-1.59]\'',-1.018437,3.6,0.2,Iris-setosa
'\'(1.59-2.18]\'',-0.535384,3.9,0.4,Iris-setosa
'\'(-inf-1.59]\'',-1.50149,3.4,0.3,Iris-setosa
'\'(-inf-1.59]\'',-1.018437,3.4,0.2,Iris-setosa
'\'(-inf-1.59]\'',-1.743017,2.9,0.2,Iris-setosa
'\'(-inf-1.59]\'',-1.1392,3.1,0.1,Iris-setosa
'\'(-inf-1.59]\'',-0.535384,3.7,0.2,Iris-setosa
'\'(1.59-2.18]\'',-1.259964,3.4,0.2,Iris-setosa
'\'(-inf-1.59]\'',-1.259964,3,0.1,Iris-setosa
'\'(-inf-1.59]\'',-1.86378,3,0.1,Iris-setosa
'\'(-inf-1.59]\'',-0.052331,4,0.2,Iris-setosa
'\'(-inf-1.59]\'',-0.173094,4.4,0.4,Iris-setosa
'\'(-inf-1.59]\'',-0.535384,3.9,0.4,Iris-setosa
'\'(-inf-1.59]\'',-0.897674,3.5,0.3,Iris-setosa
'\'(1.59-2.18]\'',-0.173094,3.8,0.3,Iris-setosa
'\'(-inf-1.59]\'',-0.897674,3.8,0.3,Iris-setosa
'\'(1.59-2.18]\'',-0.535384,3.4,0.2,Iris-setosa
'\'(-inf-1.59]\'',-0.897674,3.7,0.4,Iris-setosa
'\'(-inf-1.59]\'',-1.50149,3.6,0.2,Iris-setosa
'\'(1.59-2.18]\'',-0.897674,3.3,0.5,Iris-setosa
'\'(1.59-2.18]\'',-1.259964,3.4,0.2,Iris-setosa
'\'(1.59-2.18]\'',-1.018437,3,0.2,Iris-setosa
'\'(1.59-2.18]\'',-1.018437,3.4,0.4,Iris-setosa
'\'(-inf-1.59]\'',-0.776911,3.5,0.2,Iris-setosa
'\'(-inf-1.59]\'',-0.776911,3.4,0.2,Iris-setosa
'\'(1.59-2.18]\'',-1.380727,3.2,0.2,Iris-setosa
'\'(1.59-2.18]\'',-1.259964,3.1,0.2,Iris-setosa
'\'(-inf-1.59]\'',-0.535384,3.4,0.4,Iris-setosa
'\'(-inf-1.59]\'',-0.776911,4.1,0.1,Iris-setosa
'\'(-inf-1.59]\'',-0.414621,4.2,0.2,Iris-setosa
'\'(-inf-1.59]\'',-1.1392,3.1,0.1,Iris-setosa
'\'(-inf-1.59]\'',-1.018437,3.2,0.2,Iris-setosa
'\'(-inf-1.59]\'',-0.414621,3.5,0.2,Iris-setosa
'\'(-inf-1.59]\'',-1.1392,3.1,0.1,Iris-setosa
'\'(-inf-1.59]\'',-1.743017,3,0.2,Iris-setosa
